title,content,date
A hotel well worth revisiting more than once,That it was directed by Wes Anderson (who has a unique style that really fascinates but admittedly not everybody will like or warm to his style) and that the cast is so stellar were reasons enough to see 'The Grand Budapest Hotel' in the first place as well as its many accolades and critical acclaim.While it isn't quite flawless and it is easy to see why a number of people don't like or will not like it (due to a lot of the cast's roles being pretty short only Gustave and Zero being fully fleshed out of the characters and those who have a problem with Anderson's style) 'The Grand Budapest Hotel' is a visually stunning hugely entertaining wonderfully weird and impeccably cast and acted film.It really stuns visually with cinematography that is not only clever in technique but also gorgeous in aesthetic and tight fluid editing. The costumes production design and hair and make-up richly deserved their Oscar/Academy Award wins the costume and production design have a lusciously colourful fairy-tale feel while also given substance by the bleakly atmospheric quality that reflects the crime drama aspect of the story brilliantly.Alexandre Desplat also received an Oscar and with its hauntingly hypnotic and entrancing tones it richly deserved it as to me it was by far the best score of those nominated. Anderson directs superbly the story balances darkness and quirkiness to great effect (the prison scene is unforgettable) and it's never too simplistic or convoluted (though of course the visuals dialogue and performances make much more of an impact) and the screenplay is a sublime mixture of the dark the quirky the witty and the subtle delivered with rapid-fire.'The Grand Budapest Hotel' boasts an impeccable cast and pretty much everybody does a splendid job though many of the roles are short. My only criticism of the film is that Harvey Keitel and Saoirse Ronan are underused and just get lost amongst everything else an unrecognisable Tilda Swinton also has little to do but still gives a bat-out-of-hell performance.Bill Murray F. Murray Abraham Jeff Goldblum Jason Schwartzman and Owen Wilson give very entertaining performances while Edward Norton is delightfully droll and Adrien Brody and especially Willem Dafoe bring sinister foreboding to the film. Some may say that Tony Revolori is overshadowed by the more experienced cast members (being the only newcomer in a large cast of big names) but to me he more than holds his own and effectively plays it straight. The film belongs to Ralph Fiennes in what is essentially the heart of the film while he has always been a fine actor he has not given a performance this brilliant in years never knew he could be so riotously funny.In conclusion a wonderful film and a hotel well worth revisiting more than once if to one's taste. 9/10 Bethany Cox,5 August 2016
Strange and pretty much impossible to describe.,"Wes Anderson's films are really hard to describe or define. Suffice to say that he is unique in his style--very unique. This uniqueness is what makes ""The Grand Budapest Hotel"" worth seeing. It's an odd story where a story is told within a story--and it's filled with famous actors making lots of odd cameos. And like Anderson's other films it's full of odd characters unusual dialog and brisk-paced editing. And not surprisingly it's NOTHING like other films by other directors.The bottom line is that all these weird factors work together to make a film that you'll probably enjoy--but like me you won't be exactly sure why!",15 June 2014
Absurd funny exciting violent and colourful,Can a film be absurd funny exciting violent and colourful at the same time? Yes. 'The Grand Budapest Hotel' combines all those elements. And I didn't even mention the most important characteristic: it is visually wonderful.In this film director Wes Anderson creates his own universe full of colourful characters old-world charm and witty one-liners. The nice thing about creating your own universe is that you can make it look perfect. Every shot every little detail and every set is flawless. From lead character Gustave H.'s purple jacket to the title of the newspaper announcing the war (The Trans-Alpine Yodel) - Anderson has given thought and attention to everything.The story is not very important because it is merely a vehicle for the stunning visuals the dark humour and the rapid-fire dialogue. It's all about a hotel concierge Gustave H. who is being chased by various villains for stealing a painting. All this is set against the backdrop of the Nazis invading Central Europe (although in Anderson's fantasy world they are not called Nazis of course). Some of the scenes are very funny but there is always a darker tone because of the looming war. Anderson doesn't shy away from extreme violence but he shows it in an offbeat and almost comical manner.My favourite scene in which it all comes together shows concierges in hotels all over Europe calling each other to help Gustave H. Each of them is shown in his hotel (with a wonderful fantasy name of course) busy doing some important job like tasting the soup or giving first aid to an unconscious hotel guest when he is being called away to the telephone. Each hands the job over to his assistant and answers the phone. This fast succession of little scenes is done so perfectly it's a great joy to watch.Ralph Fiennes steals the show as the sophisticated Gustave H. who never despairs even in the most unfavourable circumstances. He is supported by a large number of star actors who are sometimes almost unrecognizable. Because of the amount of support actors some of them are a bit underused. Tilda Swinton gets rather little screen time as does Harvey Keitel.The film moves forward at a breakneck speed. You have to be very alert in order not to miss something. The plot is not always very easy to follow and the dialogue is fast. And there are the great camera angles and the wonderful detailed sets to pay attention to. I think by seeing the film a second time you can discover lots of things you didn't notice the first time.,15 March 2014
Keep your hands off my lobby boy!,The Grand Hotel Budapest is a zany colorful and fascinating journey through old postcard Europe such as only Hollywood can think of. With his old almost square picture format Wes Anderson pays tribute to recent days but with the whole movie. In addition to his brilliant humor and endearing characters this film captures gems with seemingly small details and meticulous compositions. For me now one of the funniest and most original movies of 2014.The style is unique. You will either like it or you won't. There is no middle ground here.With too many great actors to mention they all gave outstanding performance that will keep you enchanted.,4 February 2015
A Grand Adventure,Wes Anderson is one of the most original film makers working today. None of his films can be categorized into any particular genre. His latest The Grand Budapest Hotel which opened the Berlin Film Festival continues that trend. It is a tale within a tale within another tale. Whilst every shot has been meticulously arranged as though a work of Art hanging in a museum story wise Anderson has let his imagination run wild. Though the tale (with Tom Wilkinson as the author of the story) and the tale within the tale (with Jude Law as the young author & F Murray Abraham as the mysterious owner of THe Grand Budapest Hotel) have straightforward narratives the tale within the tale within the tale which comprises the bulk of the film and is set in the years preceding the Second World War is a wild uproarious train ride of story telling. It also boasts the cast of a life time: Ralph Fiennes Tilda Swinton Edward Norton Adrien Brody Willem Dafoe Harvey Keitel Jeff Goldblum Bill Murray Owen Wilson & countless cameos. It will delight Anderson fans but is more likely destined for Art house cinemas as it is too off center for mainstream audiences. The production design and music are outstanding and even the end credits are imaginatively done (and received another ovation from the audience).,8 February 2014
A brilliantly entertaining fantasy outing by Wes Anderson,"The Grand Budapest Hotel is the latest from Wes Anderson and what great fun it is. My review of Monuments Men pointed out that putting the likes of George Clooney Matt Damon Cate Blanchett Jean Dujardin Bill Murray and Hugh Bonneville in the same film was no guarantee of a good film. Following that logic what should we make of the following turning up together: Ralph Fiennes Bill Murray F. Murray Abraham Adrien Brody Willem Defoe Jeff Goldblum Jude Law Edward Norton Tom Wilkinson Saoirse Ronan Owen Wilson and (a wonderfully made up) Tilda Swinton? The answer is a near masterpiece of cameos that add up to a highly entertaining and memorable film.In a complex serious of flashbacks Tom Wilkinson plays an author remembering his younger self (Jude Law) being recounted a number of years before the life story of The Grand Budapest's mysterious elderly guest Zero Moustafa played by Abraham. (Are you still with me?) Featuring strongly in this life story Ralph Fiennes plays hotel concierge and lothario Gustave H. seducer of his elderly and wealthy guests. He is supported in this role – for everything outside the bedroom that is – by trainee Bellboy and Gustave's protégé Zero (in the younger form of Tony Revolori).Following the murder of one such guest (Tilda Swinton) Gustave is not surprised to feature strongly in her will awarded a priceless Renaissance painting – Boy with Apple. This is much to the displeasure of her son Dimitri (Adrien Brody) and his evil henchman Jopling (Willem Defoe). What follows is a madcap pursuit across snowy landscapes various grisly murders a couple of civil wars some disconnected fingers a prison break and a downhill ski chase.All the cast seem to enjoy themselves immensely but it is the production design and cinematography that really shines through: every single shot of the film is just a joy to look at from the bright pastel colours of some scenes to the oak-panelled finery of the elderly lady's mansion. Beautifully crafted beautifully litbeautifully costumed beautifully filmed. Bringing a film out so early in the new Oscar-year must be risky: but one can only hope that the voting members have a long enough memory to recognise this movie in these sorts of categories.There are some interesting crossovers to recent films: both 'The Book Thief' and 'The Monuments Men' were filmed – as this was – in Studio Babelsberg in Potsdam. No coincidence then that the steam train chugging through the East European countryside looked startlingly similar to that in the opening scenes of 'The Book Thief'; and if you have Bill Murray and Bob Balaban in town for Monuments Men then why not stick them together for this film too? Simples! Alexandre Desplat turns up AGAIN with another quirky and fitting score.All in all if you like the quirky style of films of the likes of Moulin Rouge then you'll love this. Highly recommended.(If you enjoyed this review please check out my archive of other reviews and while there sign up to ""Follow the Fad""! Thanks!).",12 March 2014
Funny sweet inventive and wonderfully acted,A wonderfully funny fable of the adventures of world's greatest hotel concierge (a brilliant inventive and hilarious performance by Ralph Fiennes) and the friendship he strikes up with the hotel's new lobby boy (a strong debut by newcomer Tony Revolori). The story goes in many unexpected directions every one entertaining and eccentric and the cast is full of first rate highly comic performances by F. Murray Abraham Adrien Brody Willem Dafoe Jeff Goldblum with terrific cameos by Bill Murray Harvey Keitel Edward Norton Tilda Swinton Jason Schwartzman Tom Wilkinson Owen Wilson Jude Law and others I feel bad for forgetting here. While not Anderson's most profound film it may be his most joyful. I don't think I stopped smiling from first frame to last and I laughed out loud quite a few times. And yet as in any good fable there is some real poignancy as well. A top notch marriage of a lovingly crafted art-film and a wacky human comedy something rarely pulled off with such panache. Even my friends who don't enjoy Anderson's work in general had nothing but good things to say. The sweetest treat of the movie year so far.,15 August 2014
"""There are still faint glimmers of civilization left in this barbaric slaughterhouse that was once known as humanity... He was one of them. """,Wes Anderson is one of the last directors -auteurs- who's got complete control on the film set and has the power to make whatever kind of film he desires. His distinct visual style is apparent since his 1996 debut Bottle Rcoket. But that was just a start with every film he made he was perfecting his technique more and more. This marvelous attention to detail the way he composes his shots( tracking shots the symmetry the characters running in slow-motion) chase scenes love story nostalgia explanatory montages the colourful set design and the prevalent theme of every one of his films: family. This all adds up to the reason why the audience enjoys Anderson's film so much. This all is brought to perfection in Grandhotel Budapest. Through complex narrative framework which itself is a mockery of all these films that are being narrated by someone and is also being an excuse for not being too realistic we get to a story of a young lobby boy named Zero Moustafa and Gustave H. (Ralph Fiennes)the concierge of the Grandhotel Budapest. Many of the female guests of the hotel mainly come to enjoy Gustave's company. When one of these ladies passes away Gustave grabs Zero and boards a train for her mansion. Soon he's blamed for her murder and hunted by police led by Edward Norton and a grim-faced assassin played by Willem Dafoe. There also is a love story between two young teens - Zero and Agatha (Saoirse Ronan) who has a birthmark in the shape of Mexico.I frankly don't understand how can this film be successful in the USA. This film is just so typically European that I guess some aspects of the film Americans just aren't familiar with. Some of the humor reminded of old French Italian and Czech comedies. Wes Anderson remains to be a stand-out filmmaker who never disappoints with any of his creations and is a safe bet to rely on his qualities. You won't want to return to the real world when the credits start to roll.,25 April 2014
Wes Anderson's Best?,"I would consider myself a Wes Anderson fan however in saying that I have only seen a handful of his movies. I was very excited for The Grand Budapest Hotel because of its excellent cast the fact it's directed by Wes Anderson and just by how unique it looked. After watching The Grand Budapest Hotel I can confidently say that it's my new favourite Wes Anderson film and probably his best.As I was hoping the story to The Grand Budapest Hotel is very original and unique some may even say strange. And as the movie goes on the story only gets wilder and wilder. The film is often very hilarious with some seriously funny dark humour thrown in there as well. Characters are extremely well written with the bond between Gustave and Zero being the backbone of the whole movie as it's so well written. The Grand Budapest Hotel features an odd narrative structure that works very well for the film again adding to the uniqueness and freshness of it. I wasn't exactly sure how the story would play out as I purposely avoided all promotional materiel so I would know as little as possible before watching. This was a great benefit to my viewing experience as I loved everything I saw and felt as though nothing was spoiled from watching too many trailers.I haven't been a huge fan of most of Ralph Fiennes' work since his phenomenal performance in 1993′s ""Schindler's List"" but this is easily his best performance since then. He proves he can do comedy just as well as he can do drama providing a perfect balance of both. Newcomer Tony Revolori is excellent as well. I won't get into the whole supporting cast because there's so many who were all so great but I was particularly impressed by Willem Dafoe Adrien Brody Harvey Keitel Jude Law and Saoirse Ronan.The Grand Budapest Hotel is definitely a Wes Anderson film down to its very core. If you know his style then you known what to expect as this movie is full of it. Thankfully though it's not a case of style over substance with a great story to accompany the gorgeous visuals. The colour palette is beautiful; it's nice to see lot's of bright colours when so many other films are so dark and dreary. The set design and costumes are perfect and there's so much attention to detail within the sets. The cinematography is phenomenal and I really like how the film was presented in different aspect ratios.You really can't go wrong with this film. It's probably Wes Anderson's best film it has gorgeous visuals excellent acting and a wonderful story. If you're a fan of Wes Anderson's previous work you cannot miss this and even if you're not a fan you should go and see it anyway.",14 March 2014
A new high for Wes Anderson,The Grand Budapest Hotel is an old relic in the eastern European former republic of Zubrowka. In 1985 the author of the book Grand Budapest Hotel (Tom Wilkinson) recounts how in 1968 he (Jude Law) got the story from Mr. Zero Moustafa (F. Murray Abraham). He talks about his early life as Lobby Boy (Tony Revolori) with the original concierge M. Gustave H. (Ralph Fiennes) in 1932 who was willed a priceless painting by Madame Celine Villeneuve Desgoffe und Taxis (Tilda Swinton) setting off a battle with the woman's family led by her son Dimitri (Adrien Brody) and the violent Jopling (Willem Dafoe). Gustave is arrested for Madame D's murder. Agatha (Saoirse Ronan) is the girl of purity who's in love with Zero. Kovacs (Jeff Goldblum) is the executor of the will.This is a new high for Wes Anderson. He's filled this with his usual unique visual style and his quirky characters. In addition he has used it in an exciting thriller with a bit of mystery. There are some really dangerous bad guys. There is real tension that isn't always there for a Wes Anderson film. He always had the quirky the fascinating and the unique. This has so much more than that. It's a pretty fun thrilling ride.,23 July 2014
