title,content,date
Outstandingly great movie,I wonder why there has been so little written and publicized about this movie. This should be seen in every country and its merits trumpeted from the skies.It starts off slowly and the locale is the former East Germany inhabited by 16 million people who are being spied upon relentlessly by their secret police. In this very real world of the Berlin Wall there are many Stasi 90000 overseeing the populace aided and abetted by hundreds of thousands of informants. Many of these snitches were blackmailed or other pressures exerted (threats to children and loved ones) and a few obliged voluntarily.What is truly amazing is that this is Florian Henckel von Donnersmarck's directorial debut and he maintains a masterful hand throughout and keeps the story and the tension rolling from the first scene of interrogation which is filmed back and forth between a tape educating new Stasi as to interview techniques and to the actual cell itself where it was recorded.The movie circles around three main characters and there is a wider circle of the powerful who pull the puppet strings for a variety of reasons which become clear as the movie unfolds.First is Georg Dreyman a playwright on the verge of celebrating his 40th birthday. Sebastian Koch a tallhandsome actor dressed in writerly rumple shares an apartment with his actress girlfriend Christa-Maria Sieland (Martina Gedeck) and exists within the strictures of the state-sponsored theatre. He is a decent man and tries to win support for his blacklisted friends.For reasons that become quite clear Dreyman falls under suspicion and the whole sophisticated Stasi spying system comes into play in the era of 1984. His whole apartment is bugged and every sound is monitored.The man in charge of all this is Captain Gerd Wiesler(Ulrich Mühe). Ulrich's performance is nothing short of stunning. He starts as an almost robotic presence dressed in gray he almost disappears into every scene he's in. But one detects a clear intelligence in his bright eyes the only part of him that's alive. Captain Wiesler lives in a non-descript arborited apartment much like himself. He squeezes his food onto a plate from a tube.But the captain starts to awaken slowly as he listens surreptitiously on the state of the art equipment secreted in the attic of Dreyman's building. He starts to fall in love with the couple and then pressure from above is brought to bear on him to dig for the dirt in Dreyman's life.And he is in a dilemma now as he is drawn further and further into the life of Dreman and his girlfriend.I won't throw spoilers down. Suffice to say is that the story is enthralling right down to the very last frame. The acting is superb the direction impeccable and the world of East Germany meticulously drawn with the viewer respected enough to find his or her own emotional path through the plot.The ending is truly one of a kind. So right and true that I was left nodding it was the only one possible.A must see I will sing the praises of this film to all I know. 10 out of 10 from me. Right up there in my top 50 of all time. I find it so disappointing that these movies don't get wider release AND compete for an Oscar in the best picture of the year and not just for best foreign film. Now there's a heretical thought!,8 March 2007
Masterpiece a unique lesson on humanity,"This is the first full feature film by Florian Henckel von Donnersmarck and won him a Best Foreign Language Film Academy Award as well as an uncountable number of other awards all around the world. The film runs for roughly 2 hours and 15 minutes and does not drag a single second. The reason for this is FHvD's outstanding script and a cast that delivers 100% from minute 1 also including all the actors in smaller roles such as Thomas Thieme who gives a great performance of an influential figure not scared of using his political power to his own sexual advantage. The standout is Ulrich Mühe showing us his character's transformation from a ruthless Stasi (secret police) agent into a caring human being who puts his own freedom at risk in order to oppose a political system built on fear that is as rotten as it gets and protect the people suffering from it. Merely from the political perspective in my opinion this is a movie that everybody needs to see especially those with an interest in history. And even for those who are not particularly fond of political films this is highly recommended as the characters and their interaction are written and portrayed with such wit and accuracy that I am not shy of calling it the best German movie ever made. And I have seen lots.I cannot even mention a favorite scene there are just too many: the joke at the cafeteria table the boy in the elevator the interrogation between Mühe and Gedeck threatening the neighbor('s daughter) the red color on the files near the end the suicide references and so on. Or I could simply mention the entire epilogue i.e. everything that happens in the movie after the Fall of the Wall. When Dreyman reads his file or how Wiesler enters the bookstore in the end are maybe the most moving moment of this film. Wiesler's last words are completely genius and I wish all films could end on such a high note. In general his character and his transformation are one of the most interesting things I have seen in movies in the last years. There are many moments one could analyze so I will just mention one. Pay attention to how he is looking for real togetherness during his meeting with the prostitute and thus cannot understand the affair between Gedeck's and Thieme's character. His faith in the system crumbles more and more as he realizes everybody is just interested in themselves while he initially believes in the idea(l) of socialism. But the people in his organization are so different compared to everything he believes in that finally the whole concept of the GDR crumbles in his mind before it crumbles in reality. There is no point anymore in punishing the people who offend his country as he realizes they are the ones who are correct and he uses all the means in his power to help them without becoming part of an investigation himself.It's so sad to see that Ulrich Mühe died so quickly after this film even before his posthumous BAFTA nomination. But we should be grateful to see the legacy he left us here. What surprises me a bit is that Henckel von Donnersmarck has worked so little in recent years. He only made one movie in the nine years since ""Das Leben der Anderen"" (a forgettable thriller with Johnny Depp and Angelina Jolie) and there is nothing upcoming on his body of work either. Maybe he really was a one-trick pony but boy was that trick magnificent. A must-see. Perfect score.",19 May 2015
The globe's best . . .,"""Who knows the secrets of the human heart?"" Col in The Crying Game WhenI saw 2006's Oscar winning Departed I was satisfied it could be the best picture of the year; then I saw Pan's Labyrinth and thought it imaginatively superior; then I saw Lives of Others the Oscar choice for best foreign film and I knew it was the globe's best film of the year no argument.Lives of Others is what all movie making should strive to be: interesting characters thrilling plot superb acting and thematic weight. It's set in East Berlin 1984 five years before the Wall's fall and Gorbachev's ""glasnost"" and still felling the tremors of Nazism in this case the Stasi a government agency similar to the SS. Capt. Gerd Wiesler (Ulrich Muehe) a Stasi teacher and coldly efficient information gatherer surreptitiously watches playwright Georg Dreyman (Sebastian Koch) and his actress girlfriend Christa-Maria Sieland (Martina Gedeck) to get compromising details that would damn Dreyman and open the romantic way for the culture minister Bruno Hempf (Thomas Thieme). Oddly for an artist Dreyman is loyal to socialism so it is through Sieland that the information must come.The dramatic hub of this absorbing intrigue is the growing affection Wiesler gains for the actress and coincidentally the underground freedom movement mostly as it is represented by artists and their friends. While his efficiency is amply evident in his cool detachment similar to that of Rafe Fiennes in Schindler's List and Serg Lopez in Pan's Labyrinth his humanity seeps out at the edges as he becomes vicariously involved in the artists' lives. First-time director Florian Henckel von Donnersmarck misses not a beat in slowly revealing the hearts of all his principals while he creates a plot remarkably interesting for a character-driven piece.Few films could mine the rich conflict between the totalitarian state and artists who yearn for freedom of expression between the loyalties of friends and lovers and the crushing exigency of survival. Lives of Others shows how difficult it is to watch others' lives unfold and not be drawn to their passion. It's rough out there: No other film of 2006 showed that cliché better. Here's looking at you best film of the year.",7 March 2007
We all have something to hide.,"Das Leben der Anderen (2006) (The Lives of Others) was brilliantly written and directed by Florian Henckel von Donnersmarck. The film is a taut thriller. It's also a dramatization of what happened in East Germany--and could happen here--if we allow the government access to every aspect of our lives. Ulrich Mühe stars as Hauptmann Gerd Wiesler of the Stasi--the dreaded secret police. The Captain is so talented in interrogation that he gives lectures on interrogation techniques to Stasi cadets.For complex reasons Wiesler is investigating a prominent couple-- Christa-Maria Sieland a beautiful and talented actor (Martina Gedeck) and Georg Dreyman (Sebastian Koch) an accomplished author and playwright.Artists in East Germany were strictly controlled by the state. Some of them played an intricate cat-and-mouse game with the Stasi--going just far enough to attract notice but not so far as to bring about arrest. The problem with the cat-and-mouse game was that the cats had very sharp teeth which they didn't hesitate to use. Blacklisting was just one of the state's weapons--a single word from a high official and you never acted again or your plays or music were never performed. Although both Christa-Maria and Georg have been careful and discrete they haven't been careful and discrete enough to escape the Stasi's interest. The movie although in color looks as if it were shot in black and white. The mood and the locations are drab and muted. Obviously the color reflects the political and social situation of the time. The camerwork and editing were outstanding. Every other aspect of the film is equally excellent particularly the work of the supporting actors. Not only does this film represent a riveting thriller but it provides a powerful political message. After you've seen The Lives of Others you won't keep quiet when someone tells you ""I don't care if the government taps my phone; I've got nothing to hide.""This is an extraordinary film--well acted and directed with a compelling plot and message. Das Leben der Anderen is the finest movie I've seen this year. It's definitely worth seeking out.",26 March 2007
The ghost of authoritarian regimes,I've been taking German lessons for about 2 months now and since movies were great in helping me learn English language I'm always looking for German films to watch (as well as German music to listen to) in order to educate my ears.Anyway I went to this place where I get all sort of rare movies and this one caught my attention... and I had no idea it got the Oscar for foreign language film this year! So I watched it without prejudice and... what did I find? A MASTERPIECE! This is the kind of movie that gets your attention from the first moment and makes you interested in understanding the characters' psyche which is very varied: you have the idealistic good guys the idealistic bad guys the people that broad their minds understanding that no political dogma is better than individual freedom etc. And even though the movie has very tough moments it is all so well done and presented with such a good taste that in the end you feel some sort of relieved.In this present day when the ghost of authoritarian regimes still fly over our heads (in my country we're getting closer and closer to that reality) this movie will make you think about how important love life and freedom are.A must see!,11 March 2007
Excellent,"I do agree with all the other positive comments and just need to add that this is the very first movie about the former GDR I saw that is not something like a comedy. Flicks like ""Sonnenallee"" or ""Good bye Lenin"" definitely were great and funny but unconsciously left myself (a West German) with the impression that the GDR has been a sort of ""Mickey Mouse State"" full of stupid but charming characters not really to be taken seriously. After seeing ""Das Leben der Anderen"" this impression shifted quite a bit: there actually was suffering killing desperation and a terribly claustrophobic atmosphere behind that wall. This might well be the most realistic depiction of the dark side of the former East Germany. Thanks to the Producers actors and director for making this movie. 10 out of 10.",20 May 2006
Brilliant,Brilliant. East Berlin 1984. The Cold War is still raging and the communist bloc does not trust its own citizens. A Secret Police agent is tasked with conducting surveillance on a writer and his lover. Over time rather than being coldly distant he finds himself being absorbed by their private lives...A great examination of life in East Germany during Communist rule and how empathy can overcome fascism. Perfect ending.Great performances all round especially from the three main actors - Martina Gedeck Ulrich Muhe and Sebastian Koch.Well deserved its Best Foreign Language Film Oscar in 2007 and should have been nominated for more than just that.,19 December 2015
Sonata for a Good Man,"This film is set in the Orlwellian year of 1984 in the old German Democratic Republic of what was known as East Berlin. The Stasi are the ""Shield and the Sword"" of the ruling party of this soviet bloc nation a secret police force of 100000 that subjugates another 300000 to spy for them. This totalitarian system is based on a need to know everything about the countries populace of 16 million. Everything is meticulously documented. Big Brother keeps tabs on any it deems worthy of investigation. Captain Gerd Wiesler (Ulrich Mühe) is a button-down bureaucratic establishmentarian who works as a Stasi interrogator and as an instructor in the school for Stasi. His old schoolmate Lt. Col Grubitz (Ulrich Tukur) is now his immediate superior. In an attempt to further his career Grubitz wants to impress Cultural Minister Bruno Hempf (Thomas Thieme) and orders Wiesler to set up an elaborate eavesdropping stakeout to gather information on playwright George Dreyman (Sebastian Koch). Dreyman is a playwright loyal to the party but most his contemporaries have not been including his favorite director Albert Jerska (Volkmar Leinert) who has been blacklisted. Dreyman's live-in girlfriend is the popular stage actress Christina- Maria Sieland (Martina Gedeck) who is also the object of amorous affection from the sinister shades of gestapo-like Hemph. This is no ordinary spy thriller. Writer/director Florian Henckel von Donnersmarck in his feature film debut gives the screen this wonderfully compelling story of life behind the Iron Curtain in the years leading to the 1989 fall of the Berlin Wall and continues into 1991 after the reunification of Germany. Wonderful camera work from cinematographer Hagen Bogdanski enhances the stark realism of this film. This is the Academy Award winning Best Foreign Language Film of 2006. I had to see this since it beat out the highly favored Pan's Labyrinth for the Oscar. It's evident to me that Lives of Others is the superior film and the Academy got it right. This film flows so smoothly and your eyes are constantly on every movement on the screen that it's hard to believe you are reading subtitles too. Gabriel Yared's original composition for the film ""Sonata for a Good Man"" is a pivotal piece of it's storyline. I can't help but give this film my highest rating of a 10 out of 10 and I would highly recommend it.",9 March 2007
Think Twice Before You Hand Over Too Much to Government,The Cold War is the center of all this. We were guilty of allowing the division of Germany and the splitting of the city of Berlin. What transpired was a Soviet controlled city with as many informants as citizens (exaggeration but not that great a one). Of course the true journalist is going to be the first to go. Don't say anything against the government. The focuses of this film is a young author who has to keep a low profile and a man who lives right next to him whose job is to use heavy surveillance on him. Eventually this man begins to realize the results of his actions and he tries to pull back his invasiveness. The scariest part of this film involves the tactics used to get confessions out of those singled out. Of course when they can't get to the person they threaten their wives and children. Of course since this takes place in 1980 we are in the wake of the destruction of the Berlin Wall. Everyone should see this and think about its implications. There is alo a subtlety and a reserved presentation that makes this work well.,22 February 2016
One word: Magnificent,"Before the Berlin Wall came down the government was very interested in ""The Lives of Others"" a brilliant 2006 German film directed and written by Florian Henckel von Donnersmarck.The story concerns a dramatist Georg Dreyman (Sebastian Koch) and his actress-girlfriend Christa-Maria Sieland (Martina Gedeck). As artists they are revered by the party. In private however their politics are somewhat different but they're careful to keep them quiet. The Minister of Culture isn't convinced of Dreyman's loyalty - in part because of his own interest in Christa so he assigns an agent Weisler (Ulrich Muhe) to spy on them. This entails wiring their apartment for sound listening in 24/7 and providing reports to the Minister. Weisler becomes drawn into the lives of these two people and their friends and therein lies the fascinating story.Poignant occasionally funny scary and thought-provoking ""The Lives of Others"" is a fantastic film about the human soul in the face of politics bureaucracy fear and desensitization. The director captures the tension-filled drab atmosphere of East Berlin. I found the ending especially emotionally powerful.The acting is wonderful. Muhe is great as a colorless puppet of the state and Gedeck and Koch are excellent as the theatrical couple. The entire film is well cast and well acted.This film won 61 awards internationally and deserved every one. Its best foreign film Oscar came as a big surprise - until people saw the film. Don't miss it.",24 January 2010
