title,content,date
"""Every man dies not every man really lives.""",The Academy Award winning war epic Braveheart is an extraordinary film that set a new bar for the genre. The story follows a Scottish peasant named William Wallace who's pushed into leading a rebellion against the tyranny of English rule when his wife is murdered. Starring Mel Gibson Patrick McGoohan Sophie Marceau and Brendan Gleeson the film has a strong cast that delivers outstanding performances. Additionally the battle sequences are remarkably gritty and violent which adds to the authentic tone of the film. And composer James Horner provides a sweeping and majestic score that's incredibly powerful. A groundbreaking film Braveheart does an exceptional job at depicting both the valor and the horror of war.,24 February 2020
It's a Masterpiece. Best Movie of All Time,Braveheart is the best movie ever made in history an absolute sculpted work of art that depicts every emotion of human existence from suffering to courage to love in front of the background of political astuteness and socio-hierarchal analysis.Telling the quasi-true story of one man's conviction and courage to exact vengeance for the killing of his first wife and father at the hands of the ruthless King Edward the II of England who in turn inspires his small province of Scotland to rebel and go to war in a real fight for freedom and independence Braveheart is a stunning depiction of the capacity of the human spirit to overcome the odds defy tyranny and achieve justice respect and dignity against oppression.Although its retractors and critics will dwell and harp on the historical accuracy of some of the movie particularly what part Robert the Bruce played in real life there is no denying the true power and emotional influence of this movie. It's understandable particularly for Europeans how this could be problematic due to their upbringing in studying history but the movie is not really about being historically perfect; it's a work of art about things much deeper. A documentary it is not and it's duplistic and hypocritical for the film's haters to dwell on this minor detail but perhaps allow historical rewriting to slide and give it a free pass in something like Tarantino's Inglourious Basterds or Once Upon a Time in Hollywood.On this topic one of the dozens of best parts in the movie is when Robert the Bruce plays an important role in one of the battles and eventually the movie does come around and get Robert's history back on track with more accuracy as to his part and character in the battle for Scotland's independence.Without trying to get the history perfect this movie is simply flawless. It's beyond flawless really. A flawless movie can just be a technical masterpiece with very little power but the raw power and emotion coming off the screen in practically every single scene in Braveheart is like an inferno.James Horner's score is one of the greatest scores ever for any movie and it successfully enhances the drama and emotion of each scene without coming across as manipulative. It fits perfectly into every single scene it is used.There isn't one acting role that is not well-done. This is one of Gibson's best acting roles and the guy who plays Edward II gives an outstanding performance.This is the greatest epic movie ever created in the history of Hollywood. A few years later another great modern epic Gladiator came out and drew rightful comparisons to Braveheart but while Gladiator is a very good movie it lacks in the emotional depth power and ultimate inspiration behind the experience of watching Braveheart.The final Act of Braveheart is one of the most powerful ever put on film. As a first time viewer you really have no idea where the story is going to go (even as a repeat viewer it still holds weight). To this day there is still nothing like it. Just when you think it's over or you know how it will end it just continues to twist and turn and then it closes with what is probably the best ending of any movie in history.In addition to all of this the body of Braveheart is loaded with outstanding battle scenes incredible editing and great dialogue rooted in inspiration political strategy philosophy and stunning human experience of love desire passion suffering and identity.When you look at the top rated movies on IMDB it is laughable that comic book movies and good popcorn-fun movies are actually rated above this. This is without a doubt hands down one of the top 25 movies ever made and in my opinion it is the #1 best movie of all-time.This movie is a masterpiece.,4 August 2019
Your Heart is Free Have the Courage to Follow It...,A simple message but even today over seven hundred years later there are far too many captive to their cultures governments and institutions. They take a large slice sometimes all of the freedoms William Wallace and so many others fought for. Keep up the fight because like the tide those oppressive forces wont curtail.A rousing piece of cinema you can forgive the historical inaccuracies in order for it to tell a hugely engaging and inspirational story full of hope although it leaves you under no illusion of mans inhumanity to man and the vile and despicable things that can be done in the name of greed power and control.,6 September 2020
One of the best modern movies of time,"I'm talking just in the 90's. The 90's were a great time for the movies we had so many memorable one's and there is no doubt that ""Braveheart"" is one of them. ""Braveheart"" is one of my favorite movies that never gets old. Despite it's long running time I will watch this movie any day.Mel Gibson has come so far in the movie business and he not only stars but directed Braveheart. He did a terrific job and deserves a lot of credit for this remarkable film. Despite it not being totally accurate with history anyone can enjoy ""Braveheart"". Based on the life story of William Wallace a town peasant who just wants to live in peace and harmony with a wife and children. But when the British king of England Longshanks is sick of Scotland ""being full of Scots"" he comes up with a way of bringing them more into a British land by ""breeding them out"". Promising any British soldier to a Scotish bride on her wedding night before her husband can have her. Wallace won't hear of it and marries his love in secret. When a British soldier notices his wife and attempts to rape her Wallace comes in and saves her causing a riot in their village and he thinks he's got her safe when he sends her away from the soldiers but they catch her and kill her right in front of her family.Wallace has had it and wants war for not only the murder of his wife and love he wants freedom for Scotland and will shed blood to do it. ""What will you do without freedom?!"" this is one of the most memorable speeches of all cinematic history during their first major battle with the British. Through countless battles friends traitors and bloodshed all Wallace just wishes for is freedom. As Robert the Bruce says to his father ""They look at him and fight by his side."" He describes Wallace's bravery and what everyone feels in wanting to be him. I love Robert's last line ""You have bled with Wallace! Now bleed with me!"" and the army stands and continues their struggling battles for freedom! This is such an inspirational movie with a powerful message ""Every man dies but not every man really lives"" to a tearful ending that will make anyone shed a tear to a terrific heartfelt sound track it's no wonder this won best picture with other Oscars. This is a movie a terrific one that everyone should enjoy and watch.10/10",21 April 2002
Freeeeeedooooommm....,It doesn't get any better than this. Mel Gibson didn't just star in this movie but directed and produced. No one will ever forget...Run and you'll live... at least a while. And dying in your beds many years from now would you be willin' to trade ALL the days from this day to that for one chance just one chance to come back here and tell our enemies that they may take our lives but they'll never take... OUR FREEDOM!,12 March 2021
A Very Fast 3 hrs,What to say about Braveheart?This movie holds up against the challenge of aging its exciting adventurous funny and passionate. The movie is beautifully shot and sounds incredible.Is it violent? Sure but what war isn't. I think Mel makes violence as much a part of the story in all his (relevant) films. The characters struggle through great violence and the impacts that is has on them by not shying away from it we are allowed to get a small appreciation of it and them.The movie isn't OTT but delivers great action that serves the story and entertains the viewer.Its considered a classic film and so it is.,21 January 2021
You should have courage to make this movie. ⭐,Most of the times Hollywood movies is sided. I don't know what you believe but sadly this movie based on the truth. Only some of the minor subjects are added to make the movie more interesting. The additions were pretty minor most of the times the main subjects is based on the truth.Doesn't matter which nation you are I think you could love this movie so much. It's actually not only about wars and battles. It has so effective Romance subject. For me the actual subject. Also the movie shows how Freedom is important.Mel Gibson did something special. I don't know is there another movie like this? I'll explain the success I like in this movie. I don't have another example that any movie with great lead actor with achieving so many things. It has James Horner's brilliant scores (that I don't know how didn't get the Academy Award) has amazing Cinematography has amazing Costumes and Makeup also has magnificent Set Decoration.I don't know how Mel Gibson managed to do all these when he's acting superbly. I know making a movie is not a personal job It's more of a team job but I'm saying Gibson directed the movie so good while acting superbly. I think that's a real special achievement.,2 March 2023
Brutal But Epic Masterpiece,"This is an emotional involving and ultimately draining film. By the time you are done you are spent. What makes this movie so intense is the passion of the main character: Scottish rebel leader William Wallace played by Mel Gibson who put his heart and soul into this performance. Add to that a powerful story great cinematography excellent action scenes and even some humor....and you have a classic film.Patrick McGoohan shines as the evil English king and Sophie Marceau Agnus McFadyen and Catherine McCormack all contribute. I'm sorry the latter had such a short role as her beauty captivated me very much. All the characters in Wallace's ""army"" are fun to watch too.For those a bit queasy with bloody violence this is not a movie for you. There are lots of gory action scenes that includes limbs being hacked off. This is not a film for the feint of heart. The only objection I have to the violence is the ending. Seeing a man tortured is not my idea of entertainment. I now fast-forward through that part but otherwise thoroughly enjoy the rest of the three-hour film an ""epic"" adventure if there ever was one.The most memorable scene in the film for me was not any of the action scenes but just the absolutely stunned look on Gibson's face when he discovers his trusted ally was anything but that. To discover that the key people in the country that you are fighting for are not backing you must have been indescribably crushing to although since this is the movies I don't know how accurate this was to the real story. Whatever the accuracy it's a great film and belongs in anyone's collection of epic-adventure masterpieces.The Blu-Ray transfer by the way is spectacular.",25 March 2006
For he had only one life to give for Scotland.,On my list of the greatest movies of all time BraveHeart ranks as number 3. It is by far one of the most epic stories ever told. Mel Gibson deserved all the credit he recieved and more. His portrayal of William Wallace one of Scotlands most mightiest warriors was spot on. The only part that lacked was the romantic affair of Princess Isabella and Wallace. It historically never happened. This movie also has other historical errors but WHO CARES!The Battle of Stirling has to be the second most graphic piece of footage ever shot next to Omaha Beach in Saving Private Ryan. I love the part where the English Commander gives the order to charge and Wallace sees this and raises his broadsword into the air and starts yelling. He charges the field with the Scots and I'll let you see the movie to see what happens next.Wallace's emotional speech at the battle of Stirling still is inspirational and I think that the REAL William Wallace would be proud of the way Mel Gibson portrayed him.My hat goes off to Mel Gibson. I hope he makes a few more movies like this one.Out of ten............10/10!,19 November 1999
"""Every man dies. Not every man really lives.""","This movie is almost two decades old now and as is often the case with blockbuster films I'm just now getting around to seeing it for the first time. My timing is kind of serendipitous too because Scotland will be voting on leaving the UK next week on September 18th 2014 as I write this. It's pretty much a toss-up on how it goes though whatever the outcome the geopolitical consequences will be felt for a long time.Mel Gibson and Kevin Costner are a couple of names who frequently find themselves involved in controversy for their projects. In recent years Gibson has been at the center of some embarrassing personal exploits but there's no denying he's had a major impact on film making with movies like ""Braveheart"" and ""The Passion of the Christ"". Both films offer an epic sweep and are cinematically dynamic. The battle scenes in ""Braveheart"" are among the most expansive and realistic as you'll see anywhere.But as with most historical films and I've learned this all too well by now what you see is not necessarily what the world got at the time. I don't think such departures from accuracy are always meant to be made for the sake of revisionism nevertheless they detract from a film's educational value. So one's approach to ""Braveheart"" probably ought to be made from the standpoint of an epic period drama with it's attendant personal stories thrown in as human interest. That's what you have here with this Best Picture winner and the award is well deserved on that score. Personally I have my doubts whether the Scots ever mooned the British at the Battle of Stirling.",13 September 2014
