title,content,date
A Milestone Of Science Fiction And A Cyberpunk Masterpiece,"A feast for the eyes. Dark and uncompromising. With a haunting musical score by Vangelis that adds a hypnotic quality to those breathtaking megacity landscapes of future Los Angeles. Ridley Scott's adaptation of Philip K. Dick's post-apocalyptic bounty hunter story 'Do Androids Dream Of Electric Sheep' is a visionary work of art; it's a dystopian masterpiece and I'd personally call it as much a milestone of science fiction as Kubrick's '2001' (and be advised to watch the version known as the ""final cut"" if you want to catch 'Blade Runner' as it was intended by its director). It's hard to overstate how influential the film was; it invented the sci-fi subgenre now known as ""cyberpunk"" and it was also the first ""film noir"" in a sci-fi setting. And although it looks so distractingly gorgeous that even today there are people who still dismiss it as superficial and mere ""eye candy"" it is a philosphically deep film that ponders existential questions about the nature of being human. Its slow brooding quality will perhaps leave some modern audiences who are used to a different pace and more action underwhelmed - but make no mistake: this is a groundbreaking masterwork of its genre and a timeles classic. 10 stars out of 10.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/",11 February 2018
A glorious timeless nightmare,Dark deep uncertain unsettling  imagine the most beautiful nightmare you've ever had  this is Blade Runner (1982).Ridley Scott's Blade Runner is a brilliantly crafted science fiction film that not only touches upon but bravely plunges into deep philosophical questions making it simply ten times more important than any film of its genre. I love it not only for the initial feeling it gives but because of its perseverance  none of the visuals themes or technology feel dated but as deep gripping and current as ever. It is timeless beauty with huge doses of emotion.Set in 2019 Los Angeles Blade Runner zooms in on the eerily-lit urban streets of the city and follows Richard Deckard  superbly played by Harrison Ford who brings an exquisite moral ambiguity to his character  a special policeman who tracks down and terminates artificially-created humans called replicants who have escaped from an Off-World colony and made their way to earth and need to be stopped. The things Deckard encounters on his detective journey raise many philosophical questions like: Who is really a replicant? Are replicants really bad? If replicants are bad when why did we go to such lengths with our technology to create them? Are replicants really humans? Is Deckard a hero? This truly is a film that demands subsequent discussion and its ambiguous ending leave a haunting and eerie feeling.In spite of a rich glaze of science fiction and futurism coating this adventure there are distinct film noir elements present  primarily in the bluish haze that the film is seen through and its gritty urban atmosphere. Whoever thought of this combination is a genius. Since it is all about technology it fits then that Blade Runner features a ridiculous amount of product placement especially from Atari. In any other film this would have felt out-of-place but here it is simply perfect. The score by Vangelis is strangely gripping when combined with the striking cinematography of the film.Blade Runner deserves credit celebration and remembrance for it is simply an excellent film. 10 out of 10 (and I don't just throw this grade out like SOME people),25 July 2006
An incredibly beautiful-looking film as one would expect with director Ridley Scott,"But it's almost like an art movie the first science-fiction art film It's a futuristic film beautifully put together It's really impeccably made by one of the great visionary directors And you really saw a future that looked very different from the future you had seen before A future that looked very believable like the visual-effects shots of the flying car going over a futuristic city The fight sequence doesn't prepare you for the traumatic emotional side that there is in the film it leaves you sort of broken There is a beautiful delicate emotional great scene that I remember when I first saw the movie I'm in the theater and I'm so drawn in what Rutger Hauer's doing I'm so drawn in by what the theme of the movie has brought us to The magnificent moment where he is letting go of life And in those last moments of letting go of life he's really learned to appreciate life to the point where he spares Deckard's life and where he's even holding a white dove because he just wants to have something that's alive in his hands It's an amazing sort of crescendo that's going and there's Rutger saying: ""I've seen things you people wouldn't believe. All these moments will be lost in time like tears in rain."" Hauer puts all the things that are so amazing about people: sense of poetry sense of humor sense of sexuality sense of the kid sense of soul Scott brought out the best qualities in his performers He coaxed and very gently manipulated performances from his actors that in some instances I think they've rarely topped You feel the story you feel the emotions of the characters and you will be lost in the middle of this wild world you know it's so rich and it's painful I mean it's a very bluesy dark story and told very compassionately The overpopulation the sort of crowd scenes is so rich and varied and there's such an extreme detail designing the magazine covers designing the look of the punks the Hare Krishnas the biological salesman everything is designed You have just Piccadilly Circus punks walking by You have a sense of layers in that society That is one of those things that you see again and again The city landscape with the big billboards à la Kyoto or Tokyo Scott was able to create the look based on what goes on in various cities all over the world Whether it is Tokyo Kyoto or Beijing or Hong Kong or whatever you're right in ""Blade Runner"" country ""Blade Runner"" to me embodies the elegance the power and the uniqueness of a film experience It's the most classical beautiful purest movie-making writing and then the film-making itself is The images and the sound and the music it's pure cinema Ridley came out with an amazing brilliantly executed future of an absolute dystopia The intensity of his perfectionism on ""Blade Runner"" made the movie This is a master at his best",11 August 2008
Best movie ever,Just my personal opinion. Everything is perfect about this movie. I saw the movie the first time when I was 12 and it was mind blowing for me. 38 years later I feel the same about this movie. Timeless and beautiful. For me 10/10 with a star and smile,10 May 2020
Still outshines the others 17 years later,"Blade Runner belongs on a list of 2 or 3 movies that had me walking out of the theater in a stupor as though hit by a sledgehammer the first time I saw it. It fulfills one of my requirements of great films in that I walked out of the theater a different person than when I entered. And it fulfilled another requirement in that it improved with repeated viewings.There is so much to take in visually intellectually and emotionally that my mind was overwhelmed at the first viewing trying to sort it all out. Unlike the so-called ""entertainment"" we get today at the movies this film didn't spoonfeed its meaning to you. It left the ending ambiguous so your imagination has to supply it.The film demands discussion. There are so many topics to debate. Is Deckard a replicant? Do Deckard and Rachel live happily ever after? Why is there a unicorn in the director's cut? Is Deckard a hero? Or are the replicants really the good guys? Every time I watch it my answers change.I may be one of the few that really likes the original. Probably because I've seen that version a couple dozen times since 1982 before the director's cut came out. This may contradict what I said earlier about being spoonfed but I liked the narration because it explained what was going on in Deckard's mind. And I didn't mind the ""happy ending"" because it still implied that their troubles may not be over. ""I don't know how long we had together. Who does?"" But with that version memorized I now appreciate the directors cut. It probably has the better ending. (At least I think so until I view it again!)It's also fun watching actors before they became more famous later like Sean Young Daryl Hannah M. Emmet Walsh William Sanderson and Edward James Olmos. I think they all did a great job. And Vangelis did a beautiful moving score.After ""Blade Runner"" most of the big blockbuster science fiction movies boil down to good guys vs. bad guys with lots of loud explosions and in-your-face effects. Very simplistic messages if any. That's why I still contend that an ""oldie"" like Blade Runner still outshines them all. It has incredible special effects but never at the expense of the story. The cityscapes do more than dazzle you they involve you.The more I think of it the more I realize that ""Blade Runner"" is not only my favorite science fiction movie but one of my favorite films in any genre. I wish Ridley Scott would return to science fiction but then again today's Hollywood would never release a movie like ""Blade Runner.""",5 August 1999
All those moments will be lost in time like tears in rain...,"Blade Runner describes a future in which through genetics artificial humans are manufactured and called ""replicants""; employees in dangerous jobs and slaves in the outer colonies of the Earth. Made by Tyrell Corporation under the motto ""more humans than humans"" -especially the ""Nexus-6"" models- not only resembles humans they are far superior physically.The replicants were declared illegal on planet Earth after a bloody mutiny occurred on the planet Mars where they worked as slaves. A special police force Blade Runners is in charge of identifying tracking and killing - or ""withdrawing"" in terms of the police itself - the fugitive replicants found on Earth. With a group of replicants loose in Los Angeles Rick Deckard the best agent that has existed in regard to the recovery and removal of the replicas is removed from his semi-retirement to use some of ""the old magic blade runner"".Ridley Scott fantastic dark cyberpunk style and futuristic design is so well made that accomplished to create a visual vocabulary: neon lights abandonment decay loneliness obscurity indifference and alienation are the core of the aesthetics of the film which will eventually become and serve as a pattern for successive cinematographic works.The script David Webb Peoples adapted from 'Do Androids Dream of Electric Sheep?' takes the viewer into a dwelling and philosophical controversy as it creates doubt and empathy to the so called replicants primarily as seen in many shots of Rick Deckard hesitating about the true nature of his task.Harrison Ford and Rutger Hauer haunts the attention into the essence of the story. Their characterization throughout infiltrates the different conceptions of life. A saddened soul searching for the meaning of his punished existence and the other ruminating a task sinking him into a moral void brimming with guilt.At the end the movie leaves you wondering about the implications the creation of highly intelligent beings (IA) must have and if it's worth treating them as machines or they have become so human that the difference is non existent.""Time... to die"".10/10.",20 August 2018
New Blu-Ray Disc Made Me A Blade Runner Fan,"Sometimes you just need to give a film a second chance even if it is 20 years later! Only some rave reviews about the picture quality of this new 5-disc ""Complete Collector's Edition"" enticed me to watch this again. Wow I am glad; this was a very entertaining and a tremendous visual and audio treat.I actually appreciated the audio best because even in this new Blu-Ray era one doesn't often find a film with very active surround speakers. However this ""restored"" version did and the sound is at the point the best I've heard on a Blu-Ray disc....or any DVD for that matter. The visuals? Well fans of Blade Runner know all about them. They are fantastic. Scene-after-scene reminded me of a Stanley Kubrick film or another bizarre 1980s movie called ""Jacob's Ladder.""Because there are so many things to see and hear and the story is different one filled with strange characters I can see where people would watch this film multiple times and enjoy it very much each time. The ""Collector's Edition"" has the best picture ever according to director Ridley Scott and ""is the version I'm most pleased with."" It has added scenes one didn't see in earlier versions. The rest of the DVD has those earlier versions. Apparently there are several including those with Harrison Ford doing narration like out of a late '40s film noir.Speaking of the latter that's what this film looked like: a combination film noir (or neo-noir) and sci-fi movie. It has many dark images fantastic night-time scenes wonderful closeups and an always-interesting color palette. Sci-fi films usually get dated in a hurry thanks to ever-increasing special-effects progress in the movie industry but this still looks very good. Despite being made over 25 years ago Blade Runner still looks very much state-of-the-art.Scott says this is the best version and the best his film has ever looked and sounded. Since it's his movie who am I to argue. So if you're like me and never gave this movie a chance (I lost interest halfway through with my VHS look at it) give this a second look on this Blu-Ray edition....and you will be blown away. This is indeed an amazing film.",7 December 2008
One of Ridley Scott's best,Blade Runner is quite simply wonderful and not only is it one of Ridley Scott's best films but also one of the best of the genre. For one thing the visuals are superb. Not just in the special effects which are just mind-blowing but also in the cinematography colours and sets. Another strong asset is the score in fact Blade Runner is easily one of Vangelis's best by how mysterious and haunting it all is.The story is just great. True it is the sort of film you need to see more than once to understand/appreciate it but that is not a flaw in any way quite the contrary. The story is very compelling and also very deep thematically. Blade Runner is further advantaged by memorable dialogue superb direction by Scott and good pacing. I can understand why some are underwhelmed by the ending I was at first but the more I saw the film the more the ending made sense to me. Finally the performances. Harrison Ford is perfectly cast and Sean Young supports him admirably but the real star of the cast is Rutgar Hauer who is outstanding in his role.In conclusion a brilliant film and something Scott should be proud of. 10/10 Bethany Cox,1 January 2011
A frame to die for.,"I spent a weekend with the new DVD set of Blade Runner. Watched all four versions pretty much back to back (minus the work print version) starting with the US theatrical and finishing with the Final Cut. And across those eight hours I spent with the film I did not get tired of watching – just watching – that futuristic film-noir vibe: deep dark shadows and majestic use of light and color used to make a run-down polluted cityscape look so beautiful. In fact when I got to the Final Cut which had been cleaned up restored and remixed the picture and sound quite literally took my breath away.Blade Runner is easily one of the best looking films ever made.In some ways many ways Blade Runner strikes me as silly. Particularly in its more climactic moments where the protagonist faces off against a replicant. Pris's acrobatic means of attacking Deckard? When Roy Batty chases Deckard in his shorts (when a few moments before he was fully clothed?) The film goes over-the-top to the point where I find myself asking ""why in the world would the characters do that?!"" But here's what's interesting: as silly as Blade Runner may get it never betrays its own world. Everything that happens in some queer way feels natural to this strange futuristic world.I like the movie in its action scenes but I simply adore it during the quieter moments – the parts where not a whole hell of a lot is happening and you can simply watch and absorb Jordan Cronenweth's marvelous cinematography. My favorite scene comes when Rachel has saved Deckard's life. An emotional wreck of killing another replicant on top of the revelation that she herself is a replicant – she stands by a window where light floods in so much light that the whole screen goes white and then it recedes again and we see the characters again. Later in that same scene she sits at the piano plays for a bit and then lets her hair down. Hearing Deckard stumbling in the other room she looks out of the corner of her eye  and shot after shot after shot through this entire sequence demonstrates absolute mastery over the frame.Plus some of the other quiet moments resonate with a truer low-key science-fiction feel such as the scene in Tyrell corporation where Deckard applies the Voight-Kampff test to Rachel. More or less a mundane questionaire/interview with a typical sci-fi gadget sitting on the table but Ridley Scott and Terry Rawlings compacts the lengthy endeavor into a few short moments using a stunningly simple montage.Later on Deckard sits in front of a voice-activated screen analyzing a photograph. The task is presented as a dull monotonous job (made especially evident in Harrison Ford's delivery) yet the scene itself never bores. The voice-activation not only serves as a staple sci-fi device but cleverly allows Deckard to take the audience's hand and guide them through this investigative process. And perhaps what I like most about the scene: the audience and even Deckard himself doesn't even really know what he's found. Things don't magically fall into place with a Scooby-Doo moment of revelation. He finds another clue that might lead somewhere (albeit since it's a movie it's a good guess the clue does lead somewhere.) In my mind at least moments such as the Voight-Kampff scenes Deckard's briefing the photograph analysis both of Rachel's scenes in Deckard's apartment gives the world of Blade Runner a solid grounding so later on it can get away with the absurd.Which brings me to the replicants. Roy Batty (Rutger Hauer) in particular whose strangely sympathetic in that his murderous tendencies spawn directly from his fear of dying. This is a man who possesses a strong conviction that he deserves life perhaps because he looks around on earth and sees people squandering their existence while he knows he only has a few short moments. Why should a shmuck like Deckard live for 50+ years when Roy in his 4 short years has seen attack ships burning off the shoulder of Orion and seen C-beams glitter in the dark  ""If only you could see what I've seen with your eyes"" he proudly and warmly tells one of the scientists who helped create him.As for which cut of the film I don't think any single one is perfect (and I'd honestly watch any of them in a heartbeat.) I prefer the ""Final Cut"" over the others and admire Ridley Scott's restraint in his definitive DVD release. Most of the modifications are fine-tuning tweaks the casual viewer won't even notice unless watching two version back to back and most of said fine-tuning improve the film (although admittingly Roy's beckoning of Sebastian could've been left out.) But hell all versions of Blade Runner are included so people don't have much room to complain about the changes. And no matter what version you go with it's still a beautiful film to just  watch.",2 February 2008
Do Welshmen dream of inflatable sheep?,Rick Deckard is given an assignment to 'retire' several biologically engineered fugitives.I love Blade Runner for it's visual beauty themes and how it mixes two of my favourite movie genres: noir and sci-fi.The plot follows Deckard as he hunts replicants falls in love and questions his own humanity. It moves deliberately slow allowing you to take in all the sights and sounds of 2019 Los Angeles (as imagined in 1982) whilst pondering some of the themes it presents.If you want to know more about the philosophical themes in significant depth I suggest you google 'Blade Runner Themes and Motifs'. A simple Welshman like myself would for the purpose of a review rather scratch the surface and say that the imagery and dialogue associated with what defines a sentient being and what makes us human is compellingly portrayed. The device used to explore these themes is the genetically engineered humanoid life-form the godlike status of its creator and the morally compromised nature of the ordinary human. Additionally the number of references to the eyes and linking of what we see and remember versus what is fake and reality is cleverly mixed into the story.The character of Roy Batty has been interpreted as both a religious and philosophical allegory but these types of theories can be argued until the sheep come home. He is for me the most intriguing character in the movie and his final scene is one of the most memorable of all time. Along with Deckard it made me actually wonder if there is any real difference between humans and replicants. He is portrayed wonderfully by Rutger Hauer who both looks and acts the part.Deckard is impressively played by Harrison Ford who is perfect for movies with such an emphasis on visuals. Ninety percent of Ford's power as an actor comes from his striking visual presence and soulful facial expressions. His scenes with Sean Young young are as emotionally touching as the action scenes are brutal.One of Blade Runner's most memorable aspects is its depiction of 2019 Los Angeles with its permanently dark rainy skies overcrowding neon lights high concept technology urban decay and environmental devastation. Take away the flying cars and off-world colonies and it's not far off an accurate prediction.I could write for hours about the cinematography artistic designs and special effects but there's nothing I can say that would do it justice. You should watch every incredibly atmospheric frame of Blade Runner and absorb what Ridley Scott is showing you.The much argued question of whether Deckard is a replicant or a human is interesting. There is evidence on both sides of the argument and you must watch the movie to decide. I ask myself does it really matter? Personally I think in the grand scheme of the movie it matters as much as whether Welshmen dream of inflatable sheep. If I had to decide though I'd say that he is a replicant.,18 February 2021
