title,content,date
High energy and wonderfully excessive as it delivers an engaging true story but the lack of morality anywhere was a limiting factor,"This film arrived in the UK with awards and Oscar nominations all around it adding an expectation which it really didn't need adding since even without any of that it is ultimately a Scorsese film with a big name cast. It also arrives with some other stuff because the film has been criticized for near glamorization of the excesses that Belfort was able to experience with his ill-gotten funds and to be honest it is an impression that isn't helped when you consider that this film was put forward to the Golden Globes in the Musical/Comedy section. Now I am sure that was a political move by the studio but it does say something about the film because indeed for most of it we have stuff so unbelievable and so excessive that it is hard not to laugh at it. It is hard not to enjoy it.And this is a problem because the first 2 hours and a bit of this film is really engaging and enchanting in how much of a rush it gives you how enticing it is and just how much vibrant energy it all has. The viewer is swept along and I guess to a point this is the film doing its job well because not only are we being told a story but we are first hand seeing how easy it is to get caught up in the grab for success for money for status. In this regard the film works really well because throughout the film I really was glad to be part of it and wanted it for myself; I don't think the film goes out of its way to glamorize this excess and this life but for sure it doesn't do much to balance it – and this really is my problem with the film.The structure subjects and delivery of this film is so inherently similar to Goodfellas that it is hard not to mention it. If you remember the opening of Goodfellas you'll remember that it opens with a memorably violent scene where an near-dead man in the back of a car is stabbed by Hill and his colleagues in a scene that is oppressive and violent but yet ends with the narration telling us ""as far back as I can remember I wanted to be a gangster"" and snaps to credits under a big track from Tony Bennett. This scene is important because it works as a microcosm of the whole film – the appeal but also the cost all in one place. Wolf of Wall Street never has any of that and it hurts it. I suspect the message of the film is that our financial systems are screwed and that ultimately the rich will never be in the same world as the average person because this is what I took from the rather sobering final scenes. However if this is the point it is trying to make then it really hurts itself with the rest of the film seeming to say ""so why not get on board"". I know this is not the case but the lack of a ""point"" or an agenda it the film means that it naturally fills it with its own which is a weird feeling.But then again – I guess it is a comedy. So the infamous Quaalude scene is not horrific but rather hilarious the scenes of excess and of criminality are not equally appealing and repulsive – they are almost totally appealing we hardly get the other side or get to see a victim here and a few seconds on the subway with the FBI agent really does nothing but yet again make the suggestion that ""it's all broken so why not at least get rich yourself"". Getting away from this it is a well made film. Scorsese makes this award season's second film to owe a massive debt to Goodfellas (American Hustle being the other) and he directs the film with energy; music is used well as one would expect and the editing makes the film pop. DiCaprio is great in the lead – OK he doesn't find the heart of the character but the film doesn't ask him to. Instead he is charismatic and energetic drawing the viewer in and giving the film its energy. The supporting cast is deep with names and familiar faces and it is a statement about how well the film holds the viewer because it isn't distracting no matter how many famous faces or supporting character from TV appear (although I did notice that this and American Hustle had lots of faces from HBO's Boardwalk Empire). Jonah Hill is over the top in a way that works although I am surprised to see him getting an Oscar nomination for it in such a crowded year.Wolf of Wall Street has had a lot of praise and this will continue as the Oscars approach and are awarded. Personally I enjoyed the film as a funny true story delivered with energy and excess but in many ways it is not Goodfellas and the most important of these is that the film lacks a moral core to itself to its characters and to its message. I don't mind the ""it's all screwed so who cares"" message that it ultimately seems to give but I didn't feel comfortable with how wide a smile it had on its face while it was delivering it.",17 January 2014
SELL ME THIS PEN,"Golden Globe winner Leonardo DiCaprio stars in the title role of Jordan Belfort. Belfort works his way up the ladder making money in penny stocks i.e. ""selling garbage to garbage men."" His scheme is to sell these garbage stocks to rich investors due to the high commissions. Along the way he does some illegal transactions as he runs his corporation like a frat party in ""Animal House."" Having not known money he and his crew are ill equipped to handle it.I thought that Jonah Hill gave one of his best performances. The production is awfully long not wanting to miss out on any details. The film goes into detail to explain to the audience things like IPO and the history and effects of quaaludes. If you note the ludes he took early in the film were crumbly. Those were non-prescription ludes made from a pill press in uncle Vinnie's garage and not too potent. Later they score some real ludes. Having taken the fake ones for so long they didn't know how to handle them causing them to crash like the money it was too much too fast.The main criticism of the film is that it featured over 500 F-bombs. It really didn't seem like that many due to the length of the production. Besides you get numb to it after the first few hundred or so.",4 October 2018
Oscar worthy,The movie Leonardo DiCaprio should have gotten an Oscar for. His portrayal of the character is perfect. The movie is well-written leaving no details out of the original story. Martin Scorsese never fails to impress. One of the only example where the movie is better than the book. The movie never gets boring I could watch this anytime.,29 December 2020
Awesome movie watched it multiple times,"This film is every definition of the word ""impeccable."" Scorcese's fantastic storytelling ability mixed with phenomenal acting from DiCaprio Hill and the rest of the cast makes for an awesome combination. The film is never boring and gives you a glimpse into the life of a man who had everything in the world only to have it taken away.",23 February 2020
It really is a comedy,"There is a reason this is called Wolf of Wall Street and not Lion of Wall Street. This is not supposed to be a story about some good guy or misunderstood guy doing things that are a little off. And therefor it was important to make this a comedy. When I watched it I didn't think it would qualify as comedy. Thought of it more of a drama with some comedic moments thrown in.The way it starts should indicate if this is something you want to watch. Never forget as someone else also stated this is supposed to be entertainment and does not take itself seriously. If you are not on that level with the movie you will call it names. And that is OK because obviously the movie is out there and it will not be everyones taste. That's why you have to decide early on if you actually want to watch it or not.If you don't feel like it don't watch it. Save yourself some time and watch something else that interests you instead. If it hits a nerve with you though you will revel in it. Especially in the performance Leonardo Di Caprio is giving. There is a scene involving him driving ""carefully"" that has to be seen to be believed ...",18 June 2014
My favorite movie of the 2010's,What can I say. This is such a great movie. I remember seeing this for the first time not really knowing what it was about. Straight from the first scene it immediately put a smile on my face which lasted about for the rest of the entire movie. Great entertainment I love over the top movies like this. I haven't seen something this good since Fear and Loathing in Las Vegas. I have seen it about 4 times again since it came out and I just keep loving it. The only downside was maybe the scene with the ludes and the Lamborghini. Even though it was great maybe it was a bit too much over the top :),15 October 2021
DiCaprio gives the best performance of his career.,"In the mid-1990s Jordan Belfort (Leonardo DiCaprio) and the rest of his associates from brokerage firm Stratton Oakmont became the very definition of excess and debauchery their offices a boiler room fueled by cocaine and greed. High pressure sales tactic and less-than-legal behind-the-scenes manipulation bred plenty of twenty-something millionaires and Belfort built himself an empire at the top of the heap. His rise and fall is chronicled in The Wolf of Wall Street based on the memoir of the same name.Under most circumstances the actions of Belfort and his cronies (including Jonah Hill in a howlingly funny turn as Belfort's business partner) would be viewed as disgustingly abhorrent but Martin Scorsese frames this tale of greed with a comedic lens that allows us to laugh at things we probably shouldn't find humorous. Whether it's a clumsy attempt at fisticuffs between two characters overdosing on Quaaludes or the categorization of prostitutes using stock market terminology (""blue chip"" hookers make you wear a condom and typically accept credit cards) the film is outrageous from start to finish and rarely falters in its quest to entertain the audience for three hours.Belfort manages to delude himself and his pals into thinking they can live like this forever but the audience knows better and Belfort's eventual comeuppance is hardly surprising. But the path is paved with hilarity especially in a scene aboard the mogul's luxury yacht where he surreptitiously offers a pair of FBI agents everything from booze to girls to cold hard cash in exchange for their silence. And let's not forget his punishment for drunkenly piloting a helicopter into the backyard of his estate at 3am raising the ire of his trophy wife (Margot Robbie).Scorsese has always managed to elicit astounding performances from his actors and his fifth collaboration with Leonardo DiCaprio results in one of the most charismatic despicable offensive and captivating characters to ever appear on screen. As financial bad boy Belfort DiCaprio swaggers from scene to scene ingesting eye-popping amounts of narcotics groping and fondling nearly every female within reach and spouting more profanity in three hours than an entire season of The Sopranos. Belfort is the kind of person that any sane person would detest in real life but thanks to Scorses and DiCaprio we can't take our eyes off him.-- Brent Hankins www.nerdrep.com",24 December 2013
"""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""","It's no surprise that Scorsese is associated with the gangster genre with films such as The Departed Goodfellas and Casino of which the last two are possibly the best pure examples of the genre. In Goodfellas the gangsters are dangerous but they operate on a more underground level in Casino they practically run a major city and can do whatever they like. The gangsters were and will always be a part in America's system. Now the gangsters are not just accepted by the system but are considered to be an integral part of it. In the first two films the gangster is threatening and dangerous but avoidable. In The Wolf of Wall Street he's calling to hustle you at home and you don't even know it. Some people view The Wolf of Wall Street as a glorification of Jordan Belfort's lifestyle and want to be like him as Scorsese portrays this life by its nature enticing. That's the way it works and it's impossible to portray it accurately without showing how a charismatic man like Belfort can suck an unsuspecting person into a world of money and fame. The film though shows us just how empty and destructive that life can be.There is an undeniable similarity between the instantaneous joy energy and euphoria that we have while watching The Wolf of Wall Street and how Jordan Belfort lives his life this is a movie where the director skillfully mixes form and content to create an experience which is as hyper and as instantly ecstatic as the life of its flashy and opportunistic characters.The direction by Martin Scorsese which still has infectious energy and power is impeccable there is no other director who has mastered pacing like he has. This is a three-hour movie that moves lightning fast and always manages to keep the audience invested in the story throughout the whole duration. Each scene is packed with so much visual information and it is fast paced and quickly edited which complements the general tone of the film. The cinematography by Rodrigo Prieto is gorgeous as well and displays an optimal color palette throughout the whole film. Each shot also looks precise even during some of the more chaotic scenes.The script is fantastic filled with many great and memorable lines of dialogue. Every character has a well-defined arc and motives and the story is given proper breathing room to blossom. The performances are also exquisite especially Leonardo DiCaprio who gives one of the best performances of his career and portrays the opportunistic nature of Jordan Belfort's character with great commitment as you can see a lustful hedonistic and impulsive sex & drug-addict man who only wants to have more fun. Supporting him with equal passion is Jonah Hill as Donnie Azoff Belfort's sidekick and even he manages to make a mark of his own. Margot Robbie plays Naomi Belfort's second wife and she does an alluring job in her given role. Matthew McConaughey is in for a very short duration as Mark Hanna Belfort's mentor but even in that little time he is the show-stealer and he dominates the screen unlike anyone else.Martin Scorsese and Terence Winter set out to create a film about the Wall Street excess and by definition it contains an excessive amount of everything such as cursing sex nudity drugs alcohol and partying. But the film is not really about those things. The story of The Wolf of Wall Street boils down to money that ""most-addictive drug"" Belfort speaks of and not just what it can buy but what it can do to people. Not just how it changes one's lifestyle but the effects it has on one's morals beliefs and values and how it can effectively change not just how a person thinks and feels but how they operate at their core.With a collection of truly incredible films The Wolf of Wall Street stands out as one of Scorsese's best films my personal favorite and by far his most humorous film to date. He truly went all out and it paid off in a hilarious satire on the reverence of money drugs women and the admiration of a criminal money-maker. The Wolf of Wall Street is maddening cinema that's already high on coke but still continues to snort more white powder every 5 minutes for 3 hours. This is a fascinating vignette of excess greed abuse and decay and it's one of the best movies of the decade and surely one of the most entertaining movies ever made.",24 October 2018
The best movie of 2013,The movie is just the best the acting is great and even I say that it was Oscar-worthy and the plot is simply one of the best ones; the message that it brings to you that money brings power and it is not always for the best because in this movie we see the downfall of a man that will learn that actually in life the money can be a drug and will simply make you cause damage to yourself.,22 September 2021
The Wolf of Wall Street is Leonardo DiCaprio's Crowning Work,"Martin Scorsese has done it again. His newest and most refreshing effort he's contributed to the world of cinema in years The Wolf of Wall Street is a roaring thrill ride that is both absolutely hilarious and meticulously constructed. It also presents Academy Award nominee Leonardo DiCaprio in possibly his finest acting performance of his career. At one-minute shy of three hours I was both engaged and hypnotized nearly the entire duration. A comedic epic that studies the behavior and cultures of a time in America feels like the uncovering of a time capsule that was buried and dug up to give insight into our current financial crisis. Much more than just laughs it turns on the dramatic elements early enough in the film to warrant considerable reactions about the choices of our key characters. Expertly paced with intelligent moral questions presented The Wolf of Wall Street is one of the best films of the year.Telling the story of Jordan Belfort a young Wall Street broker that gets involved in drugs money and even more drugs during the 80's and 90's. In his tenure trading (and stealing) Jordan marries divorces does drugs marries again does even more drugs makes solid friendships and believe it or not does a lot more drugs. Watching the destruction of Jordan acted as a documentarian's insight that felt like I was watching ""Intervention"" without the family that cares. The Wolf of Wall Street is a black comedy giving hints of drama. Natural comparisons will fly to Oliver Stone's Wall Street which is accurate but you can see subtle hints of films like Trading Places Glengarry Glen Ross and even American Psycho. That's a testament to Scorsese's outstanding direction and Terence Winter's masterful screenplay. Scorsese keeps Wolf life-size sprinkled with characters that are both geniuses and morons but functioning morons. They're like the frat pack group that sat in a corner on my college campus being loud and obnoxious and made terrible life choices that they still aren't aware of until this day. Scorsese puts together an all-star cast to inhabit these beings that includes DiCaprio Jonah Hill Margot Robbie Matthew McConaughey Jon Bernathal and Kyle Chandler. All of which seem to be having the time of their lives.A lot of the credit of the film's overall success has to be awarded to Leonardo DiCaprio. I've never seen him truly ""go for it"" in a way that he exhibits as Jordan Belfort. In his breaking of the fourth wall to his long but completely engaging monologues about life money and greed it's the most assured and compelling work by the actor to date. When DiCaprio unleashed his talents in the mid-90's in What's Eating Gilbert Grape? and later stole the hearts of tween girls everywhere in Titanic who knew this is the role he'd been gearing up to play. This is the role of his career and something that the Academy Awards should look to for his long overdue recognition. It's a charming and adventurous turn that presents a conundrum to the audience as we find ourselves both enamored and loathing the pure essence of Jordan. A sequence of DiCaprio crawling on the floor will probably be the scene of the year. This is DiCaprio's crowning achievement.As the magnetic and cheesy-minded right-hand man Jonah Hill's performance as Donnie Azoff is another great turn for the 30-year-old actor. He's allowed to explore some of his comedic ticks and beats that he may not have ever had the opportunity to explore in films like Superbad or 21 Jump Street. In Wolf he relies on his own instincts and his chemistry with DiCaprio which has helped him before for his Oscar-nominated work in Moneyball opposite Brad Pitt. Matthew McConaughey is one scene shy of winning the Oscar for Best Supporting Actor. While his work in Dallas Buyers Club will bring him the acclaim and recognition that he deserves The Wolf of Wall Street is a prime example of what he should be doing when he's not working or seeking out the strong independent features that are geared for awards recognition. Stealing every frame and focus from DiCaprio in his ten minute screen time McConaughey utilizes all his charm and spunk as Mark Hanna the mentor to young Jordan as he started out.Like any great Scorsese film the women are in full-force and given the opportunity to shine like the others. Cristin Millotti a toned down and tragic version of Marisa Tomei in My Cousin Vinny is sensational in her brief appearances on screen. Beautiful and sympathetic she offers much needed serious and dramatic elements to Jordan's outrageous antics. In the end a star is born in the gorgeous and vivacious Margot Robbie as Naomi Lapaglia Jordan's second wife. Whoever was going to be cast as Naomi had to be an actress of considerable talent and had the ability to really be the sexy kitten but still warrant an emotional reaction from the audience when called upon. Margot Robbie was the perfect choice and she'll need to owe Scorsese royalties for years to come with the roles she'll be offered following this. Robbie is pure magic and is everything she's required to be. She's the more elusive compelling and more thought out version of Scarlett Johansson's character in Don Jon.I loved every second of The Wolf of Wall Street. Terence Winter's script is a natural and well-oiled machine that produces the words of a demigod. You couldn't make these things up. Thelma Schoonmaker is the utmost professional and continues to shine film after film. You won't find another dedicated and glossed editing work this year. The other supporting actors do sensational work especially Kyle Chandler who has a very well-constructed exchange on a boat with DiCaprio has us asking more and more why is this guy not helming his own films on a consistent basis yet?",17 December 2013
