title,content,date
Not as good as infinity war..,But its a pretty good film. A bit of a mess in some parts lacking the cohesive and effortless feel infinity war somehow managed to accomplish. Some silly plot holes and characters that could've been cut (Ahem captain marvel and thanos). The use of Captain marvel in this film was just ridiculous. Shes there at the start bails for some reason? And then pops up at the end to serve no purpose but deux ex machina a space ship...The past thanos part wasn't necessary when you think about it they could've done this film without a real 'villain' And it would've worked and been a original take on a super hero film without using the same formula we have seen in 10+ super hero films already. The entire final battle felt like a rehashed messy battle with a bunch more characters against thanos - basically mixing the space battle from infinity war; iron man spider man etc and the final battle of infinity war with captain america thor etc.. mashing those two into one within this new film. The scenes of trying to pull the gauntlet off his hand.. it all felt like a rehash.To me the best part of the film was the first act and half of the second when everyone is lost and trying to figure out how to continue on. really interesting themes that followed the pay off from infinity wars ending. And then the time heist part. Tho the heist part should've been much more stretched out. With only small parts of thanos within that and not having him be the big bad again. But just a side character that gets in the way a little bit.And the setting up for 'new avengers' to replace the beloved actors and characters we have come to associate with these films.. they do not get me at all excited for the next phase in marvel films. Falcon Valkyrie blackpanther cap marvel? I just dont care about them at all. And their actors lack any charisma or depth.To me this feels like a closing of marvel films that I'll really enjoy for my pop corn fix. I've given infinity war a 10/10 and some of the stand alone films 8's and 9's. But I have a sinking feeling this will not be happening in the future except the guardians of the galaxy films.It seems i maybe in the minority for my feelings towards this film but im not sugar coating my opinion like it seems a few people are doing due to nostalgia. Its good but not great. Had the opportunity to be better maybe? And the setting up of new characters to come possible reflects on my score to... Because i just don't give two cents about any of them,29 April 2019
Not as good as infinity war but a great movie,Rating: 8.6Not as good as Infinity war pacing-wise but is a satisfying ending to the saga. High production quality and a great soundtrack like its predecessor. The final fight did feel a little cliché (two armies brainlessly charging at each other for a typical smackdown). Not much to write about it made every marvel movie before it worth the ticket.,13 December 2021
Emotional but bit messy.,So it all ends. I have loved most of the MCU some have been too predictable but I awaited after IW to see how it would all pan out. Firstly some of my favourite characters are a joke. Please don't dumb Thor or Banner/Hulk down not necessary. Great starting scene then slow dramatic next 1.5 hours. It builds to the time travel reversing all section with too many plot holes. We've all seen other time reversing movies who have done it so much better. The last hour is spectacular great to see all the gang back but it feels rushed. Emotion runs high and defo not a kids film in my eyes. Cap is great Stark is amazing but everyone else feels like there just there. What I loved was the beauty of the final scenes wonderful score and saying goodbye to old friends. Overall wanted more but even far from perfect is still pretty good.,27 April 2019
Crazy in every sense,This film is an emotional rollercoaster with some of the coolest superhero plot lines ever drawn up. It's straight up the most epic Marvel film that will probably ever be created. I don't see how Marvel could ever top this but getting to see these characters all together at least one last time was a reward all on its own.,26 November 2021
Perfect ending,After watching Infinity war I was looking forward to much more this time still a perfect ending.,8 May 2019
The End of an Era!,After Avengers Infinity War we waited for the Avengers Endgame. We wondered how the story would go on how our heroes would turn back what would be the end of Thanos. Many theories related to this have been put forward. Avengers Endgame was undoubtedly the most anticipated film of recent years. Normally the higher the expectation the higher the probability of disappointment. But this is not the case for Endgame. Whatever you're expecting you find much more in the film. This means that the biggest concern about the film has disappeared.On the other hand another comparison comes up. Is Endgame more successful than Infinity War? We can comfortably say it Avengers Infinity War is just the beginning of the story. Endgame was the finale of the story. So we shouldn't think of these two films as two separate stories. There is only one story divided into two parts.Avengers Endgame is above all a great homage to the ten-year history of the Marvel Cinematic Universe. The story highlights the original Avengers team. Iron Man Captain America Thor Hulk Black Widow and Hawkeye are at the center of events. No character comes in front of them. Of course there are many characters that play an important role in the story outside the original Avengers team. Everyone's concern was that Captain Marvel who was included in the Marvel world overshadowed other heroes. We can say that this certainly did not happen. What is important in this struggle is not how strong you are but how good you are. This comes to the fore in all areas. It gives good message about being a hero and a family.Of course Avengers Endgame has some critical aspects. For example is the three-hour period necessary in terms of the story? It can be discussed. The head of the story moves much slower than the rest. It also drags the heroes into an emotional predicament. Then the tempo is rising and the heavy scenes we are watching are getting more meaningful. The last 45 minutes of the movie is fully action packed. But the last 45 minutes goes so fast that you don't even realize it. Action and battle scenes are really successful. There is not even a slight distress about visual effects. There are also slight logic errors in the film but in general the story is so successful that these details become meaningless and insignificant after a certain point.Lastly Avengers Endgame doesn't have a movie end scene. Because after the film's final there is no need for another scene. The Marvel legend Stan Lee appears with a small stage. But this is the last surprise scene in the Marvel Cinematic Universe. Moreover there is no clue about Marvel's future. This makes us wonder more about Spider-Man: Far from Home. 10/10,25 April 2019
Neither self-contained nor original,The film has too many references to previous Marvel films and is not friendly to those who are not Marvel fans. General audiences may easily get confused: what is this and why is that? The story is not original either. We have seen too many time-travel films such as Back to the Future and Days of Future Past. This film does not offer anything new. Besides the last thirty minutes are kind of redundant and the overall running time is unnecessarily long.,26 April 2019
The ending made all 22 movies worth it,If you're going to watch this movie avoid any spoilers even spoiler free reviews. Which is why I'm not going to say anything about the movie. Not even my opinion. All I'm going to say is:The crowd applauded 3 times during the movie and stood up to clap their hands after. This I have never witnessed in a Dutch cinema. Dutch crowds aren't usually passionate about this. I checked the row where I was sitting and people were crying. After the movie I was seeing people with smudged mascara. That's all I have to say about the movie.,24 April 2019
"⭐⭐⭐⭐⭐""PHENOMENON""⭐⭐⭐⭐⭐",""" ...the problem is when you mess with time time kinda tends to MESS BACK.. "" ~TONY STARK A.K.A 'IRONMAN' MARVEL'S "" AVENGER'S : ENDGAME "" .___________________________________________________"" SO WHO CARES ?...if this ""1ST-BIT"" HERE sounds a bit CLICHE ? ? ? The fact is that this film Is ( At The VERY LEAST ) ->- ( 1. )A LABOUR OF L💎VE . ( 2. )A TRUE UNEQUIVOCAL WORK OF "" HE💎RT "" . ( 3. )A BEAUTIFUL & ENDURING M💎STERPIECE .I ABSOLUTELY ADORE pictures that are ""THOROUGHLY"" UNPREDICTABLE & this Passionately-exquisite Creation FAR FAR outweighed my Every-Hope in that particular respect and ...Indeed..... so MANY MANY MORE .A WELL MEANING WORD OF ADVICE THOUGH ->- ""THIS IS ( NOT ⭐ -❕) A FAIRY TALE"". BE ABSOLUTELY SURE to chuck your 'innocently-created FANTASIES' of what to expect... RIGHT AT THE CINEMA ENTRANCE ( Or chances are you will Almost-CERTAINLY be DISAPPOINTED ) .ALSO I ""ESPECIALLY"" urge you to Spare more than just a ""Passing-thought"" for CHRIS HEMSWORTH'S ""Profoundly-comedic"" & YES... O F . C O UR S E ->- ROBERT DOWNEY JUNIOR'S ""Utterly-Stellar & ENTIRELY OSCAR WORTHY ⭐❕ ( -AS IN ""BEST ACTOR & NO LESS- )"".. ""DRAMATIC""... PERFORMANCES. ( The Generally-SUPERB Collective-cast performance NOTWITHSTANDING )...Come to think of it ( SADLY ) ANTAGONISTS' performances these days Often tend to get OVERLOOKED and/or TAKEN FOR-GRANTED; & JOSH BROLIN'S ""INEVITABLE""-THANOS ->- MAY ->- most decidedly be NO EXCEPTION. I'm ( ALREADY ;) ) ROOTING FOR him to be Nominated for ""BEST SUPPORTING ACTOR"" for the 2020 OSCAR AWARDS .AND IN CLOSING : OH YES.. Consider Yourself Warned... this film is SO FUNNY..... you may just ->- ""DIE LAUGHING"". ( Consider yourself FULLY-WARNED N O W ) .A HUMONGOUS WHOLESALE 25 ( 😉 ❤ ) MARKS OUT OF 10  HANDS DOWN ⭐ ❕❕"" .",7 June 2019
Absolute Perfection End Game,Rating 10/10 Absolute perfection end game !! Good acting performance to all the characters. Great cgi's. Truly epic & perfect ending to a long journey of marvel movie. Go see it you wont regret it !! Perfection Marvel Endgame !!,24 April 2019
slighty awkward or boring at times slow dialog some cool stuff,Unfortunately clumsy. I enjoyed all previous Avengers and a few scenes in this are very cool and funny but this one lowers the bar overall. For me the story petered out instead of maintained momentum from previous movies. The dialogue struggles to be interesting boring sequences at time.Clumsy Avengers fit awkwardly together for group photo like bad high school reunion. That said I enjoy Avengers like everyone else for years just not this one so much.The super-power woman Capt Marvel her powers are overdone. Too simplistic too much power. No reason for her to lose any fight.Was a big collective of all heroes even necessary? Sort of not really.Some scenes linger way too long drawing out already thin content. And where was Dr Strange? He hardly had anything to say and very brief appearance yet he was in possession of crucial aspect of story.,22 August 2019
nothing here keep on walking,3 hours out of my life I will never get back. not worth the hype. you think the soap opera is done by the ultimate battle. think again. let us milk it and release another spider man. geez a lou.,19 August 2019
These get worse!!!,I don't really know what all the hype is about. Bored watching this as it's the same again just rehashed. Glad to see the back of the Avengers to be honest.,14 June 2019
Time travel is such a lazy way to write stories,Only a month or so back I was talking to a friend about how much I hate it when serious movies use time travel to get their characters out of problems. I have no problem with movies like 'Back to the Future' or 'Hot Tub Time Machine' that are both comedy based and use the time machine as a plot for the movie as opposed to a solution for characters problems. When a serious movie uses it though it as lazy as writing as dream sequence in my opinion.At the end of the day though that just underlines the problem with these movies. The heroes are far too powerful. Whatever power they need they simply possess conveniently. Heck 'Dr Strange' can even see into the future to know exactly what to do to make sure everything turns out alright. If that isn't the stupidest thing I've ever seen in a movie I don't know what is.I felt like the movie went very much as expected as well. Sure some characters die however they were pretty much telegraphed to do so long before the movie came out. There also seemed to be a lack of conflict as key moments. A lot of things went far too smoothly for my liking in terms of the plan. Finally the ending with 'Iron Man' simply pulling the glove off 'Thanos' - what the hell was that? Was that supposed to be clever writing? 'Thanos' just standing there for an eternity doing nothing waiting for someone to stop him?A lot of the jokes failed to land too. This was a surprisingly unfunny movie. In a 3 hour movie I got maybe 3 light chuckles out of the film. Every joke just felt so forced and some of the characters who don't have a comedy background delivered them very poorly. 'Avengers: Endgame' is three hours of my life I would like back.,6 May 2019
Half this movie is boring emotional dialogue unlike the first part all action!,I have watched the first part many many times. Every minute of it was accounted for with importance to the plot - not wasted on snowflake emotions.This second half has an excellent plot but oh my - how it dragged on with talk and tears!I also didn't like Pepper suddenly being outfitted as a fighter?! lol! And considering the future hero roles revealed in this one can we eventually expect a white Black Panther too?! Don't get me wrong - I don't want to see a white Black Panther.Several other points of disappointment too.Bummer.,1 August 2019
A little bit underwhelmed,Don't get me wrong the movie was great but would I watch it a second time? Probably not - until the DVD comes out.I've seen infinity war at least 5 times and it's one of my favorite films.That being said i will compare the two movies for sure and I just disliked the pacing it was all over the place. Some Characters felt off and some got little to no screen time where others had too much.It's just too many characters for one movie even though infinity war did it much better with just as many characters. I just can't put my finger on it.The fighting scenes were alright the first half lacked action but the second half delivered some good solid scenes nothing groundbreaking but fun to watch. They can't reinvent the wheel neither do they want to. They stick to what works and that's alright.All in all the movie was a close 8/10 the fanboys who give it a 10 are just blind to accept the mistakes the movie made. It's not a perfect film even an 8 is really generous in my opinion. The Movie works with nostalgia and gives fans of the MCU the things they wanted more or less.Still thinking Thor 3 was the best MCU movie. Sue me.,24 April 2019
Just terrible!,They've really scrapped the bottom with this one! Oh so Bad!,2 August 2019
Very disappointing,Right in the beginning you know how the movie is going to end...the good guys are going to win. How anti-climactic that was.. The stage is not set right (half of all humanity is gone but the enormity of that is not explored...)...when you have Thanos give his explanation as to why he did what he did I found myself thinking - well he actually has a point. In the meanwhile every single superhero is given time to fight say some cute things some say a few smart things a few even manage to say profoundly philosophical statements... The quantum physics explanations used to explain how things are done are plainly non sense... ..they just made stuff up as they went on. Alls well that ends well. Except we spent 3 hours to find that out.,12 May 2019
AMAZING,THE STORY IS VERY WELL BUILT THE CHEMISTRY OF THE CHARACTERS IS GREATCGI IS GOODTHE PERFORMANCE IS GOODIT WAS A GREAT LAST CHAPTER AFTER THIS FILMuDIDN'T WATCH ANYTHING ABOUT MARVEL BECAUSE NOW IT JUST MAKES GARBAGE.,10 March 2022
The zenith of the MCU franchise.,"I feel like I'm wasting my time writing down my thoughts about Avengers: Endgame because nothing I (or any critic) could say about it would ever dissuade a prospective viewer from seeing it. But after having had the chance to watch it at a preview screening I can't help but say a few spoiler-free words.I'm not your average fanboy -- most long-running franchises have bored me at this point and I couldn't care less about the newest Star Wars episode or whether there will be another film set in the Harry Potter universe.But Marvel films have been consistently watchable with many solid entries and a few great ones (Winter Soldier Ragnarok the first Guardians of the Galaxy among others). And after Infinity War ended with a cliffhanger I was looking forward to the conclusion. Boy was I not disappointed!Very few highly-anticipated movies live up to the hype but Avengers: Endgame is one of them. It's the perfect follow up to Infinity War and the absolute zenith of the Marvel franchise. It's hard to see how they'll be able to top this one.It's surprisingly inventive (even when you know where the story is headed the plot takes a few tangents getting there) emotionally engaging (a few people were crying in the theater) and surprisingly funny (this is probably the most I've laughed in a Marvel film since Thor: Ragnarok). Visually speaking it's a true spectacle (topping Infinity War in the 'epic battle' stakes) and even though it's three hours long it doesn't feel bloated. The only times I glanced at my watch was because I was hoping there would be more time before the end.Yes it's a superhero movie but an immensely entertaining one (especially for fans who have seen all the pictures that came before it: there are tons of references and inside jokes to reward the faithful).If ""Return of the King"" managed to win Best picture at the 2003 Oscars Avengers: Endgame deserves at least a nomination. It's as good (and in many ways better) a conclusion to a fantasy/genre series as the Peter Jackson film.Go see it.",24 April 2019
The best Marvel Superhero movie ever and also the epic conclusion to the 21 movies in the MCU,Avengers: Endgame is above all the best Marvel superhero movie to date. This is also the best and epic conclusion to the 21 movies in the first 10 years of the MCU. This is the epic culmination. The best storytelling ever told.,24 April 2019
Oh. My. Gosh! What a boring movie!,"The alternate title for this film: ""How to Cram a 90 Minute Movie Into 3 Hours.""",23 May 2019
Great climax!,So here we have it AVENGERS: ENDGAME the expansive sequel to not only AVENGERS: INFINITY WAR but also to the whole last 13 years or so of Marvel cinema. It's a film that had big boots to fill but the good news is that it's a complete success and every bit as enjoyable as its predecessor. At three hours I wasn't sure about the pacing but even during the slower first half the viewer's interest remains piqued thanks to the witty dialogue and huge cast of well-established characters doing their thing.The time travel plot might seem a cop out to some but I really enjoyed the way it gives characters a chance to revisit earlier productions (and even allow the likes of Robert Redford to show up in clever cameos). The climactic action is well worth the wait and bests the battles in LORD OF THE RINGS: RETURN OF THE KING in terms of pure CGI spectacle; it only took them 16 years to get it right. Great fun anyway and one for the ages.,2 March 2020
Pure torture,I had to take several breaks walk the dogs play videogames and clean the house while watching this absolutely ridiculous and nonsensical pile of rubbish and now afterwards I'm asking myself why I put myself through such suffering. To what end. I guess I was hoping there would be one scene or at least one line that put a smile on my face or made me feel anything at all except extreme pain and boredom. There wasn't any of that unfortunately so I just wasted three hours of my life I could have spent on basically anything else and it would have been more worth while. I can't decide which one was more painful to watch this or Aquaman? Both equally and utterly disappointing I guess.,6 August 2019
