title,content,date
Fantastic acting script and direction in a thought-provoking movie,Outstanding film. Star-studded with several fantastic performances. Highly emotional given the subject matter but presented in a very intelligent balanced way. I was struck at once by that and by how well director Stanley Kramer gives us both sides of the argument – and avoids simply paying lip service to the defense of the German judges on trial. Maximilian Schell is brilliant as the defense attorney well worthy of his Oscar and is forceful and compelling in his arguments. There are also so many brilliant scenes. Spencer Tracy walking in the empty arena where the Nazi rallies were held with Kramer focusing on the dais from which Hitler spoke. The testimony of Montgomery Clift and Judy Garland both of whom are outstanding and should have gotten Oscars. Burt Lancaster in the role of one of the German judges the one tortured by his complicity knowing he and others are guilty. The devastating real film clips from the concentration camps which are still spine tingling despite all we 'know' or have been exposed to. Marlene Dietrich as the German general's wife haunted but expressing the German viewpoint one time while people are singing over drinks. Her night stroll with Tracy as she explains the words to one song is touching. It just seemed like there was just one powerhouse scene after another and the film did not seem long at all at three hours. Heck you've even got Werner Klemperer and William Shatner before they would become Colonel Klink and Captain Kirk! In this film the acting the script and the direction are all brilliant and in harmony with one another.As for the trial itself the defense argument was along these lines: they were judges (and therefore interpreters) not makers of law. They didn't know about the atrocities in the concentration camps. At least one of them saved or helped many by staying in their roles and doing the best they could under the heavy hand of the Third Reich. They were patriots saw improvement in the country when Hitler took power but did not know how far he would go. If you were going to convict these judges you would have to convict many more Germans (and where would it stop?). The Americans themselves practiced Eugenics and killed thousands and thousands of innocents at Hiroshima and Nagasaki. The one small weakness I found was that the defense never makes the simple argument that these judges were forced to do what they did just as countless others in Germany were and would have been imprisoned or killed themselves had they not complied. Anyone who's lived under a totalitarian regime may understand or at least empathize.I'm not saying I bought into these arguments or that one should be an apologist to Nazis but the fact that the film presented such a strong defense was thought provoking. How fantastic is it that Spencer Tracy plays his character the way he does – simply pursuing the facts and in a quiet thoughtful way. It's the best of humanity. How heartbreaking is Burt Lancaster's character admitting they knew admitting their guilt knowing that what happened was horrible and that they were wrong and yet seeking Tracy's understanding in that scene in the jail cell at the end – intellectual to intellectual - and being rebuked. Even a single life taken unjustly was wrong. Had the Axis won the war I don't know which Americans would have been on trial for war crimes for the fire bombings of Dresden and Tokyo or for dropping the atomic bombs but the film makes one think even for a war when things were seemingly as black and white as they could ever be. The particulars of this trial were fictionalized but it's representative of what really occurred and it transports you into events 70 years ago which seem so unreal today – and yet are so vitally important to understand and remember.,11 September 2017
Cinematic Theater Of A Remarkable Kind,"Beyond its compelling subject matter ""Judgement At Neuremberg"" revolutionizes the court room drama genre. The camera swings and swerves and dives between the lines of this exemplary Abby Mann script. Stanley Kramer conducts his orchestra of iconic stars with the precision of a Swiss watchmaker. The language barriers and the confinement of the action masterfully resolved. Spencer Tracy is simply magnificent and as per usual we believe every word that comes out of his mouth. His judge is an American monument of unsentimental humanity. Twentynine year old Maimilian Schell won the Oscar as best actor and his performance survived the test of time with the vigor of his conviction. Montgomery Cliff makes his short minutes on the screen one of those memorable moments that nobody that has ever seen it will be able to forget. The man and the character merging into one chilling shattering truth. ""I am half the man I've ever been"" Marlene Dietrich gives to her German aristocrat a legendary star quality. And Judy Garland overweight and almost unrecognizable breaks your heart and gets her last Oscar nomination. My only troubles came with the stoic Burt Lancaster because I could never forget it was Burt Lancaster and with Richard Widmark's strident prosecutor. I have seen ""Judgement At Neuremberg"" more than a dozen times and it never ceases to amaze me that no matter the darkness of the subject it always manages to entertain and inspire.",1 February 2007
"""My counsel says we were not aware of the extermination of the millions. He would give you the excuse: We were only aware of the extermination of the hundreds.""",This quote is one of the most shocking and yet truthful quotes I have ever heard. It is one of many shocking and intense quotes in the movie. Furthermore Judgment at Nuremburg is one of the most absorbing movies I have seen. Even though most if not all of it is dialog it is very much a haunting film. This film is loosely based on the trials in Nuremburg in 1948. Right from the start the movie captures your mind and never lets it go. The acting was collectively amazing. One of the best casts ever assembled which included Spencer Tracy Montgomery Clift Judy Garland Richard Widmark Burt Lancaster as well as international stars Maximilian Schell and Marlene Dietrich. It is not just the fact that this is a star studded cast that made it so great it was the way everyone appeared to blend in together. Maximilian Schell gave the performance of his life in this film playing the defense lawyer for Burt Lancaster who give two superb narratives that will certainly stay in your mind forever. Schell's character use of logic is that of something which will mesmerize use you whether or not you agree or disagree with what he says. Richard Widmark playing the prosecutor gave the type of supporting performance that was necessary for Schell to shine. The way both actors fed off each other was a joy to watch. Then of course the tiny appearances of Garland and Clift were excellent and worth every second they spent on camera. I usually find myself frustrated with cameos and actors receiving recognition for them but this film used cameos the best way I have ever seen. Then of course Spencer Tracy and Marlene Dietrich provided such great presence were perfect for the lead.The direction of Stanley Kramer was spectacular as the film intensified more and more as it wore on. It was always engrossing and never let up. The writing of Abby Mann was great filled up with great material and narratives allowing every actor in the cast to give a superb performance. There were many memorable quotes as well. The writing carried the film forward and allowed all the potential and talent to push this film to another level.Judgement at Nuremburg is not just another movie. It is a very thought provoking movie. More than that though it is haunting. Just thinking about the course of the events being talked about in the movie became subtly haunting in a way I really didn't expect. What was the most compelling though was the way we need to separate what we feel with what has to be truly done with what is truly right.,28 January 2009
Hollywood's best in an important film,It is so easy to dismiss this as a story of other people in another time in another land. Unfortunately what was done then is being done by the leaders of our country in the name of protection from terrorists and we the people sit silently by and let it happen just as the German people did seven decades ago.We need to watch films like this over and over to remind us of what is important and what we as civilized humans can be reduced to out of fear.This is another great film by the fantastic Abby Mann who died last month. He won an Oscar for his screenplay and it was well deserved.Maximilian Schell was simply fantastic as was Spencer Tracy Montgomery Clift and Judy Garland. Director Stanley Kramer brought out the best in these actors and others like Burt Lancaster Richard Widmark Marlene Dietrich William Shatner and Werner Klemperer.Don't look upon it as three hours of cinema but as a class in humanity as only Abby Mann could write.,11 April 2008
A Film Of Enduring Value,"They say that time heals all heartache. In the case of the Third Reich I'm not sure that the old saying is true. Out of respect for the Holocaust victims and as an important history lesson there's something to be said for not forgetting the evils of Hitler. Fortunately we have this great film to help us not forget.""Judgment At Nuremberg"" is a dramatization of one of the many real life post WWII Nuremberg trials of high ranking Nazis. Most of the film focuses on the 1948 courtroom trial of four judges who helped to carry out Hitler's decrees. As part of the prosecution's case against the judges real life graphic film footage showing the horrors of the death camps engenders a gut level impression that is both powerful and persuasive. The film thus educates viewers in ways that a dry textbook of facts and figures never could.But there's more to the film than the trial. In other parts of Nuremberg we see ordinary Germans trying to get on with their lives as best they can three years after the war's end in a bombed out and bleak city. One of these persons is Madame Bertholt (Marlene Dietrich) the wife of a dead German soldier. In contrast to the harsh and contentious trial Madame Bertholt's kindness toward the tribunal's lead judge Dan Haywood (Spencer Tracy) provides an example of the innocence and decency of ordinary Germans and thus adds a softer more contemplative perspective to the ordeal. In these non-courtroom scenes the melancholy background music and the soft production lighting create a mood of depression and sadness.I find very little to criticize in this three hour film. Perhaps the plot could have been clearer in identifying the legal counsel of three of the four defendants. And maybe in those scenes wherein the four defendants conversed among themselves the dialogue should have been in German not English. But these are trivial points. Overall this is a film that is well written and directed a film with credible actors giving stellar performances and most of all a film that assures preservation of that era's historic significance with a political and social message that has enduring value.",8 May 2005
The logic of evil.,"I once read a review of this film that criticized the fact that the American chief prosecutor as played by Richard Widmark was a less sympathetic and engaging character than the defending lawyer Herr Rolfe as portrayed by Max Schell. Schell's Oscar winning performance illuminated the ""shattering truth"" that the film reveals about Nazism. Extremely able and educated men were able to rationalize what they did with an irresistible logic. They loved their country and in a time of a national crisis found it necessary to implement certain measures. As expounded by Rolfe it all sounds so logical and reasonable. He also cites the fact that many world leaders actually commended Hitler upon his leadership in getting Germany out of the Depression as swiftly as he did.Widmark's character Lawson is understandably appalled by Herr Rolfe's defence of the indefencible and therefore he pulls no punches. He wants those responsible to be held fully responsible but he finds Germans who are ready to extenuate and rationalize. After he is told to tone down his demands for justice Lawson acerbically retorts ""There are no Nazis in Germany. It was those damned Eskimos."" The moment that illuminates how pure reason without humanity is so dangerous is when Pohl a right hand man for Eichman explains how it was possible to kill millions of people in purely technical terms. His explanation as he eats his lunch is devoid of any hint of human empathy for the victims he has so blithely exterminated. His was a job that was the logical extension of a policy and he carried it out with a detached and technical logic.The key point that the film makes is that to be logical is not always to be morally right.",17 June 2012
Quite grim but also very gripping,What can I say? Judgment at Nuremberg was just wonderful. At three hours it is just mesmerising from start to finish. The subject matter of the story is admittedly grim and hard-hitting but in the way it is put across and acted it is also incredibly gripping. The production values are striking Ernest Gold's music is memorable and Kramer's direction is superb. Then there is the script intelligent thought-provoking poignant quite simply a brilliant screenplay and the cast is for me one of the best on film. This film does have a lot of dignity exemplified by Burt Lancaster's thoughtful performance as Ernst Janning and a startling turn from Maximillian Schell. Marlene Dietrich is also great and I also have to mention Judy Garland's touching Irene and Montgomery Clift's Rudolph. Overall gripping and intelligent helped enormously by adept direction and acting. 10/10 Bethany Cox,23 December 2010
A True Cinematic Masterpiece,"""Judgment at Nuremberg"" is one of the great films of all time. This can be attributed to the excellent script written by Abby Mann its skillful direction by Stanley Kramer and possibly one of the greatest casts ever assembled for a motion picture.The subject trial takes place in 1948 long after the trials of the major German military generals when most people had lost interest in such proceedings. Writer Mann chose to write about the trial of German judges the people who above all should have seen the evil of Hitler and his followers coming.Assigned to the trial as Chief Judge is Dan Haywood (Spencer Tracy) a low profile justice who by his own admission was not the original or subsequent choice. The prosecutor is Col. Tad Lansing (Richard Widmark) an ""army man"" who vows to convict the four ex-German Judges. Defending the accused is Hans Rolfe (Maximillian Schell) who must convince the court that the defendants were acting only for the love of their country.Among the defendants are respected Judge Ernst Janning (Burt Lancaster) who has written several books on law accepted the world over. Lawson accuses the defendants of signing orders for the sterilization of innocent men and the execution of those who opposed to the Reich and the extermination of the jews. He puts Rudolph Peterson (Montgomery Clift) on the stand as a victim of sterilization. Rolfe manages to expose the pitiful Peterson as mentally challenged. Later Irene Hoffman (Judy Garland) is put on the stand to explain her alleged affair at the age of 16 with an elderly jew. As his coup de grace Lawson shows a film depicting the horrors of German concentration camps.In between the sessions Judge Haywood strikes up a friendship with Madame Bertholt (Marlene Dietrich) the widow of a former German general in whose former home the judge is staying. In spite of their differences they begin to grow fond of each other.The army pressures Lawson to ease up and suggests that acquittal or light sentences would best serve American interests since this was the time that the blockade of Berlin was beginning. Judge Haywood is also pressured to go easy on the sentencing.Maximillian Schell deservedly won an Oscar for his outstanding performance as Rolfe. Any one of the other principals could have easily won as well. Clift and Garland are simply outstanding as are Widmark and Lancaster. And Tracy did he ever give a bad performance? The still beautiful Dietrich was also excellent. Others in the cast are a very young William Shatner as Capt. Byers a court officer Werner Kemperer as Emil Hahn the most militant of the defendants and Ray Teal as Judge Ives. Teal had long been a fixture in westerns and is probably best remembered for playing Sheriff Coffey on TV's Bonanza.The DVD release contains an excellent conversation between Abby Mann and Maximillian Schell plus an interview with Kramer's widow the still beautiful former actress Karen Sharpe.A true cinematic masterpiece.",25 September 2004
An ageless examination of the aftermath of war,Full too the brim with more star wattage fire power than a dozen other films combined Stanley Kramer's Oscar winning courtroom epic Judgment at Nuremberg is a powerful and ageless dialogue heavy classic that remains to this day one of the best World War 2 themed films all without ever firing a single shot or even a single battle.Inspired by real life courtroom trials that came to public attention in the aftermath of the great war as Nazi members were trialed for their actions during the horrific period in Germany's history Kramer and Nuremberg's writer Abby Mann (with unofficial work from one of the films stars Montgomery Clift) spend a great deal of time exploring the after effects of the Nazi reign on Germany and how those caught up in the situation dealt with what was for all intents and purposes a hopeless situation to be a part of.Lead by a powerful performance from its main focus Spencer Tracy as aging American judge Dan Haywood (who delivers a stunning final monologue in the films later stretches) we only spend brief moments of Nuremberg's runtime outside of the sweat inducing caught room action that sees Maximillian Schell's defense lawyer Hans Rolfe go head to head with Richard Winmark's American army lawyer Col. Tad Lawson but the film never feels small or confined by its devices as we explore the mental anguish and eye opening examinations of what the war meant outside of the battlefield what it meant to those everyday people who were nothing more than pawns in a much bigger game of life and death.In this loaded ensemble we also get a memorable Burt Lancaster turn as German judge Dr. Ernst Janning with both the actors performance and characters arc making for an extremely moving examination of a good man caught in an horrific predicament while screen legends such as Marlene Dietrich Judy Garland and a very young William Shatner all deliver great turns with varying degrees of screen time ensuring Nuremberg is one of the era's most well-rounded examples of a collection of once in a generation talents.The whole production is beautifully constructed by the often underappreciated Stanley Kramer who alongside this effort and the likes of On the Beach Guess Whose Coming to Dinner comedy gem It's a Mad Mad Mad Mad World and The Defiant Ones established himself as a director of true worth that may not have received the plaudits of some of his era's peers but remains a director with a fantastic catalogue of films he managed to produce in a career that will stand tall during the tests of time.Final Say -Powerful and emotion packed without the need for any theatrics Judgment at Nuremberg is one of the most stunning cinematic examples of a courtroom and World War 2 drama respectively and is a film that should continue to be adored by cinephiles for the years yet to come.5 Opa's out of 5.,20 July 2021
~One of the most Powerful Films ever made.~,Judgement At Nurmeberg is a 1961 film about four Nazi Judges are in trial for crimes against humanity. Well let me just start out by saying that this is a very sad powerful film. I was expecting it to be very boring and I guess I underestimated it. The film is also very well written so well written that actually it makes you really think. I'm happy that it won an Oscar for writing. The best quality about the film HAS to be the acting. Judy Garland I think should of won a Supporting Actress. This is her finest performance ever and I'm sad she didn't win one. Maximilian Schell gives the performance of a lifetime in his role as the defense attorney for the judges. He truly deserved his Oscar because he was very powerful. Spencer Tracy also gave a quite exceptional performance as he always had. (He isn't a Two-Time Oscar Winner for nothing. As for Montgomery Clift he deserved his Oscar Nomination. I am kind of ticked off that Marlene didn't get an Oscar Nomination for Best Supporting Actress. I always feel she is underrated.As for Stanley Kramer (The Director) he had real talent and this film shows it. The 9-Time Oscar nominated Director should've of won an Oscar for Best Director for Judgement at Nuremberg. I hope his talent though will be remembered for many years to come.My Overall Consensus is that the movie definitely succeeds due to the Extraordinary Performances and the Quite Exceptional Writing.You Should see this Film. 10/10,14 June 2010
